"Betweenness(Weight)","Closeness(Weight)","Degree(Weight)","Eigenvector","Information","LAC","name","Network","selected","shared name","Subgragh"
"0.0","0.21376019239348693","38.9454","0.13871540129184723","14.00951862335205","52.70967741935484","Precuneus_L","59.88280076025215","false","Precuneus_L","2.284971527100608E22"
"0.0","0.21776312153602434","39.61449999999999","0.13871538639068604","14.00951862335205","52.70967741935484","Precuneus_R","59.88280076025216","false","Precuneus_R","2.2849710767406454E22"
"0.0","0.21593843205151772","39.0404","0.13618285953998566","13.910425186157227","52.56666666666667","Cingulum_Mid_L","57.81592231121212","false","Cingulum_Mid_L","2.2022993991009307E22"
"0.0","0.2181851288750335","40.05879999999999","0.13871538639068604","14.00951862335205","52.70967741935484","Cingulum_Mid_R","59.88280076025216","false","Cingulum_Mid_R","2.2849710767406454E22"
"0.0","0.2109228301806115","37.1881","0.13618287444114685","13.910425186157227","52.56666666666667","Supp_Motor_Area_L","57.81592231121212","false","Supp_Motor_Area_L","2.2022998494608934E22"
"0.0","0.21016231360219667","37.048199999999994","0.13618287444114685","13.910425186157227","52.56666666666667","Supp_Motor_Area_R","57.81592231121212","false","Supp_Motor_Area_R","2.2022998494608934E22"
"3.0","0.20067346130432046","31.9655","0.1295822113752365","13.696290969848633","51.0","Paracentral_Lobule_L","53.46877321756115","false","Paracentral_Lobule_L","1.9939865242368152E22"
"0.0","0.19690051365536404","29.897","0.12157165259122849","13.457841873168945","48.5","Paracentral_Lobule_R","49.871978790198554","false","Paracentral_Lobule_R","1.7550766438643074E22"
"62.0","0.2136518412813319","33.87859999999999","0.13047543168067932","13.751945495605469","50.91228070175438","Frontal_Sup_Medial_L","54.21257933676647","false","Frontal_Sup_Medial_L","2.0215706215944968E22"
"0.0","0.21367354307968153","33.2481","0.13005948066711426","13.696290969848633","51.5","Frontal_Sup_Medial_R","53.783736284394024","false","Frontal_Sup_Medial_R","2.008701810839267E22"
"6.0","0.1989558207929429","30.460700000000003","0.12112276256084442","13.457841873168945","48.19230769230769","Parietal_Sup_L","49.68559583253592","false","Parietal_Sup_L","1.7421397161647136E22"
"0.0","0.20024492627805013","30.364300000000004","0.11561811715364456","13.260457038879395","46.816326530612244","Frontal_Mid_L","47.907279314888015","false","Frontal_Mid_L","1.5873884894388875E22"
"0.0","0.20328445572804657","32.17560000000001","0.11973197758197784","13.393938064575195","48.27450980392157","Frontal_Mid_R","49.55500658761529","false","Frontal_Mid_R","1.7023613346859916E22"
"0.0","0.2057168056108618","33.575100000000006","0.12983618676662445","13.696290969848633","51.32142857142857","Frontal_Sup_L","53.78401113032103","false","Frontal_Sup_L","2.0018104026894646E22"
"2.0","0.21222108329166628","35.227799999999995","0.1327597200870514","13.806159019470215","51.689655172413794","Frontal_Sup_R","55.37584751879328","false","Frontal_Sup_R","2.092975193686456E22"
"15.0","0.21055027252556568","35.77189999999999","0.12829338014125824","13.639113426208496","51.054545454545455","Precentral_L","53.01538731715939","false","Precentral_L","1.954519228902354E22"
"0.0","0.21408537730983399","37.6134","0.13209763169288635","13.751945495605469","52.14035087719298","Precentral_R","54.86972538934273","false","Precentral_R","2.0721514497294203E22"
"0.0","0.2159234035793909","38.09200000000001","0.13473820686340332","13.858962059020996","52.3728813559322","Postcentral_R","56.77320658281608","false","Postcentral_R","2.155822250946467E22"
