"Betweenness(Weight)","Closeness(Weight)","Degree(Weight)","Eigenvector","Information","LAC","name","Network","selected","shared name","Subgragh"
"0.0","0.2913007127439037","37.16499999999999","0.13888652622699738","11.572673797607422","49.41379310344828","Precuneus_L","54.951925934872214","false","Precuneus_L","1.9510522453192134E21"
"0.0","0.30161867695848754","38.84590000000001","0.14189516007900238","11.645971298217773","49.733333333333334","Precuneus_R","57.01624809462842","false","Precuneus_R","2.0364973521994535E21"
"0.0","0.2884334162352756","35.8973","0.13766178488731384","11.534494400024414","49.333333333333336","Cingulum_Mid_L","53.79962021540647","false","Cingulum_Mid_L","1.9167942073787362E21"
"0.0","0.29343296875724134","37.235499999999995","0.1397053599357605","11.572673797607422","49.93103448275862","Cingulum_Mid_R","55.02277500835875","false","Cingulum_Mid_R","1.9741257343226043E21"
"0.0","0.2809996586452035","33.60900000000001","0.13296028971672058","11.413321495056152","48.7037037037037","Supp_Motor_Area_L","51.080994809649816","false","Supp_Motor_Area_L","1.7881032850766708E21"
"0.0","0.2825124476885189","34.1198","0.13103125989437103","11.370555877685547","48.301886792452834","Supp_Motor_Area_R","50.38791221485636","false","Supp_Motor_Area_R","1.7365949124509927E21"
"0.0","0.2914306357395094","33.8279","0.13690432906150818","11.495240211486816","49.67857142857143","Frontal_Sup_Medial_L","52.92819933324752","false","Frontal_Sup_Medial_L","1.8957585972067303E21"
"3.0","0.28211718540484587","31.6874","0.13156276941299438","11.413321495056152","47.7037037037037","Frontal_Sup_Medial_R","50.37960891255275","false","Frontal_Sup_Medial_R","1.750712008432939E21"
"4.0","0.2724532412624112","31.643100000000008","0.13471877574920654","11.45486831665039","49.09090909090909","Paracentral_Lobule_L","52.10534995891398","false","Paracentral_Lobule_L","1.8357136514873714E21"
"10.0","0.2675833811175335","30.6817","0.12866392731666565","11.326515197753906","47.57692307692308","Paracentral_Lobule_R","49.46215761169249","false","Paracentral_Lobule_R","1.6744118828085396E21"
"0.0","0.295320890230949","35.796400000000006","0.13856516778469086","11.534494400024414","49.96491228070175","Frontal_Sup_L","53.9641882199531","false","Frontal_Sup_L","1.9420339278028923E21"
"0.0","0.2911019585678939","35.7046","0.13856516778469086","11.534494400024414","49.96491228070175","Frontal_Sup_R","53.964188219953094","false","Frontal_Sup_R","1.9420339278028923E21"
"0.0","0.2798480399462176","32.6043","0.13103125989437103","11.370555877685547","48.301886792452834","Frontal_Mid_L","50.38791221485636","false","Frontal_Mid_L","1.7365949124509927E21"
"0.0","0.2864800153538752","34.85540000000001","0.1358589380979538","11.495240211486816","49.0","Frontal_Mid_R","52.91414284783534","false","Frontal_Mid_R","1.8669174044555613E21"
"1.0","0.287063971289795","35.632200000000005","0.13377374410629272","11.45486831665039","48.50909090909091","Precentral_R","52.02707849185954","false","Precentral_R","1.8100494667983356E21"
"7.0","0.2947166838382668","37.25990000000002","0.14080385863780975","11.609814643859863","49.86440677966102","Postcentral_R","56.17494344670612","false","Postcentral_R","2.0052927548063335E21"
"0.0","0.2826916737290462","33.62960000000001","0.13098250329494476","11.370555877685547","48.18867924528302","Precentral_L","50.17824417526926","false","Precentral_L","1.7353028015704024E21"
"0.0","0.3009844437123234","37.227199999999996","0.1397053599357605","11.572673797607422","49.93103448275862","Postcentral_L","55.02277500835875","false","Postcentral_L","1.9741257343226043E21"
"12.0","0.2609971910766167","28.477999999999998","0.11971329152584076","11.186129570007324","44.08163265306123","Parietal_Sup_L","45.91214924452666","false","Parietal_Sup_L","1.449550812588628E21"
"10.0","0.2742935378949239","26.097700000000003","0.12410827726125717","11.413321495056152","42.333333333333336","Cingulum_Ant_L","46.617137979627486","false","Cingulum_Ant_L","1.5579379596581352E21"
"11.0","0.2777745868275953","27.8378","0.13305670022964478","11.572673797607422","45.310344827586206","Cingulum_Ant_R","51.69110642683463","false","Cingulum_Ant_R","1.7906973584620362E21"
"32.0","0.2963145392444231","34.696","0.14189520478248596","11.645971298217773","49.733333333333334","Cingulum_Post_L","57.01624809462841","false","Cingulum_Post_L","2.0364986188368487E21"
"3.0","0.291757630244072","32.62259999999999","0.14040397107601166","11.645971298217773","48.7","Cingulum_Post_R","56.31768014172006","false","Cingulum_Post_R","1.993918773209921E21"
"0.0","0.278246551955462","27.5802","0.1280403435230255","11.370555877685547","45.9622641509434","Frontal_Inf_Oper_L","48.46055915773891","false","Frontal_Inf_Oper_L","1.658220738460701E21"
"0.0","0.2740114879408792","26.8679","0.12591733038425446","11.326515197753906","45.46153846153846","Frontal_Inf_Tri_L","47.81598899685215","false","Frontal_Inf_Tri_L","1.6036873542603133E21"
"16.0","0.24881226252032845","23.718800000000005","0.10495423525571823","10.86181354522705","38.83720930232558","Parietal_Sup_R","40.16865079365078","false","Parietal_Sup_R","1.1141626817887664E21"
"32.0","0.2866758644313665","33.5875","0.13888654112815857","11.572673797607422","49.41379310344828","Parietal_Inf_L","54.951925934872214","false","Parietal_Inf_L","1.9510526675316784E21"
"0.0","0.27727948943469055","28.062399999999997","0.1214982271194458","11.186129570007324","45.142857142857146","Frontal_Inf_Oper_R","46.62426673567976","false","Frontal_Inf_Oper_R","1.493098791397952E21"
"0.0","0.26379977038221686","24.695500000000006","0.1170370802283287","11.084996223449707","43.53191489361702","Frontal_Inf_Tri_R","44.8354037267081","false","Frontal_Inf_Tri_R","1.3854652935785876E21"
"1.0","0.2549446498796773","26.795399999999994","0.12608611583709717","11.281137466430664","46.745098039215684","Parietal_Inf_R","48.68779778423857","false","Parietal_Inf_R","1.6079895585418474E21"
"63.0","0.32399742506852264","36.0392","0.14685794711112976","12.01502799987793","44.638888888888886","Insula_R","68.38621359491792","false","Insula_R","2.1814416248192106E21"
"436.0","0.29606508821567784","30.382600000000007","0.1372932642698288","11.813197135925293","43.261538461538464","Putamen_R","58.578846597588054","false","Putamen_R","1.9065454220017245E21"
"759.0","0.31902297811852404","34.3918","0.14452633261680603","11.960762023925781","44.51428571428571","Insula_L","65.77923185353619","false","Insula_L","2.112723449904978E21"
"224.0","0.28331233818954965","26.862500000000008","0.1277703046798706","11.572673797607422","42.206896551724135","Putamen_L","50.00262200507465","false","Putamen_L","1.6512336851138123E21"
"64.0","0.2959509616360314","29.71430000000001","0.13749665021896362","11.874377250671387","42.02985074626866","Rolandic_Oper_R","60.11275882027203","false","Rolandic_Oper_R","1.9121982839590046E21"
"111.0","0.29306764257368123","30.253000000000004","0.1385583132505417","11.748878479003906","45.3968253968254","Thalamus_L","57.654414221703895","false","Thalamus_L","1.9418418211312873E21"
"97.0","0.2678158606469187","26.0554","0.13526049256324768","11.645971298217773","45.333333333333336","Thalamus_R","53.85128231953769","false","Thalamus_R","1.8505064281509116E21"
"22.0","0.29401329946592625","28.853900000000007","0.13902902603149414","11.748878479003906","45.492063492063494","Rolandic_Oper_L","57.549296971579054","false","Rolandic_Oper_L","1.9550579157127827E21"
"21.0","0.27727531948434664","29.63159999999999","0.13812138140201569","11.572673797607422","48.793103448275865","SupraMarginal_R","54.45463232293187","false","SupraMarginal_R","1.9296142666679997E21"
"61.0","0.2449555632511007","19.115199999999998","0.11290647089481354","11.136366844177246","39.416666666666664","Cuneus_R","42.17566507716255","false","Cuneus_R","1.289396054439892E21"
"15.0","0.21386941288731817","10.304399999999998","0.05926406756043434","9.305342674255371","21.28","Occipital_Sup_R","23.0","false","Occipital_Sup_R","3.5524794962540285E20"
"84.0","0.26006084114176875","24.254100000000008","0.13628625869750977","11.609814643859863","46.67796610169491","Cuneus_L","54.07733140874552","false","Cuneus_L","1.8786801029948113E21"
"32.0","0.23039298211865158","18.0652","0.11073129624128342","11.031949043273926","40.04347826086956","Occipital_Sup_L","42.538888888888884","false","Occipital_Sup_L","1.2401935248234276E21"
"18.0","0.2692321256452297","24.5321","0.14045119285583496","11.645971298217773","48.766666666666666","Calcarine_L","56.41178653131393","false","Calcarine_L","1.995260282948924E21"
