density,pct_connected,n_connected,n_total,avg_largest_component,avg_n_components
0.05,0.0,0,201,19.398009950248756,21.34825870646766
0.1,0.0,0,201,26.592039800995025,15.980099502487562
0.15,0.0,0,201,30.064676616915424,12.840796019900498
0.2,0.4975124378109453,1,201,32.975124378109456,10.203980099502488
0.25,1.9900497512437811,4,201,35.20398009950249,8.159203980099502
0.3,8.955223880597014,18,201,37.049751243781095,6.358208955223881
0.35,16.417910447761194,33,201,38.56716417910448,4.9054726368159205
0.4,25.37313432835821,51,201,39.80099502487562,3.7313432835820897
