metric,rho,p_value,n,p_adjusted,significant_fdr
clustering_coefficient,-0.007284120846482092,0.9182585974068104,201,0.9182585974068104,False
path_length,0.05395950548944779,0.44678172027927365,201,0.9182585974068104,False
global_efficiency,-0.01991565554336973,0.7790018647599964,201,0.9182585974068104,False
modularity,0.037317885914078947,0.5989188485171681,201,0.9182585974068104,False
small_worldness,-0.017894550765354067,0.8009351944068835,201,0.9182585974068104,False
mean_degree,0.07315121659339276,0.3020661809138301,201,0.9182585974068104,False
