Region,Sub_Mean_Degree,Diag_Mean_Degree,Degree_Diff,U_Statistic,P_Value,P_Value_FDR,Significant_FDR,Effect_Size
Precentral_L,30.220966116269352,31.253409611528774,1.0324434952594217,751.0,0.6100067333963222,0.998430791042222,False,0.0670807453416149
Temporal_Mid_L,17.31561679115212,18.299455070478405,0.9838382793262852,736.5,0.5167637397143255,0.998430791042222,False,0.08509316770186337
Temporal_Pole_Sup_R,12.704202856524182,11.372425817852646,-1.331777038671536,870.0,0.5332312548974527,0.998430791042222,False,-0.08074534161490687
Temporal_Pole_Sup_L,14.496562010408686,14.04918325350859,-0.4473787569000969,837.0,0.7619175355646707,0.998430791042222,False,-0.03975155279503095
Temporal_Sup_R,24.848856618844586,21.461899671362318,-3.3869569474822683,905.0,0.34281217844086476,0.998430791042222,False,-0.12422360248447206
Temporal_Sup_L,25.216004811018742,23.927601647837818,-1.2884031631809236,831.0,0.8079166653123115,0.998430791042222,False,-0.032298136645962705
Heschl_R,20.01883199774423,19.413749384398976,-0.6050826133452532,812.5,0.9467878190917622,0.998430791042222,False,-0.009316770186335477
Heschl_L,20.84750865768516,19.667106945997308,-1.1804017116878533,832.0,0.8005354793857334,0.998430791042222,False,-0.03354037267080745
Thalamus_R,24.97681868395256,24.661447810908168,-0.31537087304439027,826.0,0.8450445713992056,0.998430791042222,False,-0.026086956521739202
Thalamus_L,28.832044419142512,25.846910380307424,-2.9851340388350884,889.0,0.42598498292242293,0.998430791042222,False,-0.10434782608695659
Pallidum_R,19.073287973093368,13.69819916960883,-5.375088803484537,923.0,0.26216924152804866,0.998430791042222,False,-0.14658385093167703
Pallidum_L,20.3916191779521,17.831675039038167,-2.5599441389139344,883.0,0.45942317761433893,0.998430791042222,False,-0.09689440993788812
Temporal_Mid_R,16.578306700676936,13.350689335583754,-3.2276173650931828,912.0,0.3099229739949583,0.998430791042222,False,-0.13291925465838506
Putamen_R,29.00058219426472,26.696848771575684,-2.303733422689035,842.0,0.7278436813413087,0.998430791042222,False,-0.04596273291925468
Caudate_L,28.325259202305155,26.390769652025625,-1.9344895502795296,886.0,0.44279662911119,0.998430791042222,False,-0.10062111801242235
Paracentral_Lobule_R,27.744172606477743,27.17116746613384,-0.573005140343902,816.0,0.9202601811842476,0.998430791042222,False,-0.013664596273291973
Precuneus_R,32.67367675116183,32.659263160681164,-0.014413590480664595,790.0,0.8900494762948143,0.998430791042222,False,0.018633540372670843
Angular_R,22.274373518696144,25.41124552015166,3.136872001455515,722.0,0.43153666294770576,0.998430791042222,False,0.10310559006211184
Angular_L,22.7495374817361,25.448298588233502,2.698761106497404,699.0,0.3144988759761822,0.998430791042222,False,0.13167701863354042
SupraMarginal_R,26.948321801626268,28.720475447271678,1.7721536456454103,746.0,0.5770264714770392,0.998430791042222,False,0.07329192546583851
SupraMarginal_L,25.324941093532445,25.636589225963792,0.3116481324313476,793.0,0.9126949720928413,0.998430791042222,False,0.014906832298136607
Parietal_Inf_R,25.205382610707442,27.26414464796561,2.0587620372581696,735.0,0.5075827317082178,0.998430791042222,False,0.08695652173913049
Parietal_Inf_L,29.823793231192095,30.698848104337525,0.8750548731454302,760.0,0.6713771462695157,0.998430791042222,False,0.05590062111801242
Parietal_Sup_R,23.047743250272013,24.903939244095767,1.8561959938237536,739.0,0.5323185137336572,0.998430791042222,False,0.08198757763975151
Parietal_Sup_L,26.20424025323176,27.152243365988646,0.9480031127568864,758.0,0.6575295763002251,0.998430791042222,False,0.05838509316770191
Caudate_R,28.3820302491693,24.540208387440785,-3.8418218617285156,905.0,0.34280945347524383,0.998430791042222,False,-0.12422360248447206
Vermis_9,0.6686289462822644,0.11590608453302367,-0.5527228617492408,825.0,0.6822281905630401,0.998430791042222,False,-0.024844720496894457
Temporal_Pole_Mid_L,3.0196377302264183,1.4042692698367334,-1.615368460389685,824.5,0.776823668820783,0.998430791042222,False,-0.024223602484471973
Temporal_Inf_L,8.376562307633415,6.110405120126775,-2.26615718750664,818.0,0.9023777989853983,0.998430791042222,False,-0.016149068322981464
Vermis_8,1.0434814486825028,0.30247269574489793,-0.7410087529376048,816.0,0.8665010315765362,0.998430791042222,False,-0.013664596273291973
Vermis_7,1.9508249050588908,1.1209301238470788,-0.829894781211812,753.0,0.5430107972616733,0.998430791042222,False,0.06459627329192552
Vermis_6,8.349936855939418,3.5923599213572,-4.757576934582218,845.5,0.6954875221887336,0.998430791042222,False,-0.050310559006211175
Vermis_4_5,24.10436260762641,24.60310520991788,0.4987426022914718,775.0,0.778372251203629,0.998430791042222,False,0.037267080745341574
Vermis_1_2,7.4359364016075835,6.502809481813633,-0.9331269197939509,888.0,0.3875431749719638,0.998430791042222,False,-0.10310559006211184
Cerebelum_10_R,0.29073689777822004,0.0,-0.29073689777822004,851.0,0.10660205048336792,0.998430791042222,False,-0.05714285714285716
Cerebelum_10_L,0.21584345807662578,0.0,-0.21584345807662578,828.0,0.2620747643138991,0.998430791042222,False,-0.02857142857142847
Cerebelum_9_R,0.2477977719669234,0.6401529973299118,0.3923552253629884,815.0,0.8093747206931738,0.998430791042222,False,-0.012422360248447228
Cerebelum_9_L,0.9036054209210032,0.084346905637797,-0.8192585152832061,840.0,0.4303983104406953,0.998430791042222,False,-0.04347826086956519
Cerebelum_8_R,0.6866486761919387,0.18635513635824855,-0.5002935398336902,820.0,0.7607897791703069,0.998430791042222,False,-0.01863354037267073
Cerebelum_8_L,0.1964721609859952,0.5104093725066496,0.31393721152065446,843.5,0.4572609439127656,0.998430791042222,False,-0.047826086956521685
