Source,Target,Group,Avg_Fisher_Z,Avg_r
Insular Cortex,Paracingulate Gyrus,Diagnosed,0.727,0.6212
Paracingulate Gyrus,Cingulate Gyrus (posterior),Diagnosed,0.7259,0.6205
Frontal Medial Cortex,Cingulate Gyrus (anterior),Diagnosed,0.725,0.62
Middle Frontal Gyrus,Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.7247,0.6198
Inferior Temporal Gyrus (temporooccipital),Angular Gyrus,Diagnosed,0.7156,0.6141
Superior Frontal Gyrus,Occipital Fusiform Gyrus,Diagnosed,0.7135,0.6129
Superior Parietal Lobule,Parietal Operculum Cortex,Diagnosed,0.7115,0.6116
Middle Frontal Gyrus,Subcallosal Cortex,Diagnosed,0.6999,0.6043
Frontal Pole,Middle Frontal Gyrus,Diagnosed,0.6924,0.5995
Supramarginal Gyrus (posterior),Cingulate Gyrus (anterior),Diagnosed,0.6892,0.5975
Frontal Pole,Precentral Gyrus,Diagnosed,0.6872,0.5962
Paracingulate Gyrus,Occipital Fusiform Gyrus,Diagnosed,0.6869,0.596
Superior Frontal Gyrus,Supramarginal Gyrus (anterior),Diagnosed,0.6853,0.595
Insular Cortex,Precentral Gyrus,Diagnosed,0.683,0.5935
Frontal Pole,Cingulate Gyrus (anterior),Diagnosed,0.6756,0.5887
Subcallosal Cortex,Cingulate Gyrus (posterior),Diagnosed,0.6744,0.5879
Frontal Pole,Inferior Frontal Gyrus (pars opercularis),Diagnosed,0.6735,0.5873
Frontal Pole,Inferior Frontal Gyrus (pars triangularis),Diagnosed,0.6691,0.5844
Cingulate Gyrus (posterior),Parietal Operculum Cortex,Diagnosed,0.6689,0.5842
Inferior Temporal Gyrus (temporooccipital),Subcallosal Cortex,Diagnosed,0.6677,0.5834
Insular Cortex,Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.6638,0.5809
Inferior Frontal Gyrus (pars opercularis),Subcallosal Cortex,Diagnosed,0.6621,0.5797
Frontal Medial Cortex,Cingulate Gyrus (posterior),Diagnosed,0.6618,0.5796
Inferior Frontal Gyrus (pars opercularis),Paracingulate Gyrus,Diagnosed,0.6577,0.5768
Inferior Temporal Gyrus (temporooccipital),Supramarginal Gyrus (posterior),Diagnosed,0.657,0.5764
Superior Parietal Lobule,Frontal Medial Cortex,Diagnosed,0.6534,0.5739
Frontal Pole,Temporal Fusiform Cortex (posterior),Diagnosed,0.6528,0.5736
Cingulate Gyrus (anterior),Parietal Operculum Cortex,Diagnosed,0.6498,0.5716
Lateral Occipital Cortex (inferior),Parahippocampal Gyrus (anterior),Diagnosed,0.6492,0.5711
Inferior Temporal Gyrus (temporooccipital),Parietal Operculum Cortex,Diagnosed,0.6473,0.5699
Superior Parietal Lobule,Angular Gyrus,Diagnosed,0.6432,0.5671
Superior Parietal Lobule,Supramarginal Gyrus (posterior),Diagnosed,0.6432,0.5671
Middle Frontal Gyrus,Postcentral Gyrus,Diagnosed,0.6413,0.5658
Middle Frontal Gyrus,Cingulate Gyrus (posterior),Diagnosed,0.6402,0.565
Parahippocampal Gyrus (anterior),Occipital Fusiform Gyrus,Diagnosed,0.6377,0.5633
Precentral Gyrus,Angular Gyrus,Diagnosed,0.6339,0.5608
Precentral Gyrus,Parietal Operculum Cortex,Diagnosed,0.6322,0.5596
Insular Cortex,Occipital Fusiform Gyrus,Diagnosed,0.632,0.5594
Occipital Fusiform Gyrus,Central Opercular Cortex,Diagnosed,0.626,0.5553
Superior Parietal Lobule,Paracingulate Gyrus,Diagnosed,0.6258,0.5551
Supramarginal Gyrus (anterior),Parietal Operculum Cortex,Diagnosed,0.6254,0.5549
Insular Cortex,Superior Parietal Lobule,Diagnosed,0.6252,0.5548
Middle Frontal Gyrus,Superior Parietal Lobule,Diagnosed,0.6202,0.5513
Cuneal Cortex,Temporal Fusiform Cortex (posterior),Diagnosed,0.6183,0.55
Temporal Occipital Fusiform Cortex,Central Opercular Cortex,Diagnosed,0.6181,0.5498
Supramarginal Gyrus (posterior),Occipital Fusiform Gyrus,Diagnosed,0.6175,0.5494
Frontal Pole,Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.6173,0.5492
Inferior Frontal Gyrus (pars opercularis),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.6156,0.5481
Paracingulate Gyrus,Temporal Occipital Fusiform Cortex,Diagnosed,0.6135,0.5466
Paracingulate Gyrus,Temporal Fusiform Cortex (posterior),Diagnosed,0.6131,0.5463
Subcallosal Cortex,Temporal Fusiform Cortex (posterior),Diagnosed,0.6129,0.5462
Insular Cortex,Inferior Frontal Gyrus (pars opercularis),Diagnosed,0.6109,0.5448
Temporal Fusiform Cortex (posterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.6069,0.5419
Precentral Gyrus,Supramarginal Gyrus (posterior),Diagnosed,0.6066,0.5417
Parahippocampal Gyrus (anterior),Lingual Gyrus,Diagnosed,0.6046,0.5403
Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Diagnosed,0.6043,0.5401
Insular Cortex,Temporal Pole,Diagnosed,0.6029,0.5391
Frontal Medial Cortex,Occipital Fusiform Gyrus,Diagnosed,0.6028,0.539
Superior Frontal Gyrus,Parietal Operculum Cortex,Diagnosed,0.6013,0.538
Frontal Medial Cortex,Parietal Operculum Cortex,Diagnosed,0.5978,0.5355
Precentral Gyrus,Temporal Fusiform Cortex (posterior),Diagnosed,0.5959,0.5341
Frontal Pole,Insular Cortex,Diagnosed,0.5945,0.5331
Inferior Frontal Gyrus (pars opercularis),Cingulate Gyrus (anterior),Diagnosed,0.5942,0.5329
Subcallosal Cortex,Occipital Fusiform Gyrus,Diagnosed,0.5911,0.5307
Angular Gyrus,Occipital Fusiform Gyrus,Diagnosed,0.5896,0.5296
Supramarginal Gyrus (anterior),Paracingulate Gyrus,Diagnosed,0.5882,0.5286
Middle Frontal Gyrus,Frontal Medial Cortex,Diagnosed,0.5822,0.5243
Postcentral Gyrus,Frontal Medial Cortex,Diagnosed,0.5812,0.5236
Supramarginal Gyrus (anterior),Frontal Medial Cortex,Diagnosed,0.5802,0.5228
Insular Cortex,Frontal Operculum Cortex,Diagnosed,0.5762,0.5199
Postcentral Gyrus,Parietal Operculum Cortex,Diagnosed,0.5759,0.5197
Postcentral Gyrus,Paracingulate Gyrus,Diagnosed,0.5754,0.5193
Supramarginal Gyrus (anterior),Subcallosal Cortex,Diagnosed,0.5716,0.5165
Superior Parietal Lobule,Temporal Occipital Fusiform Cortex,Diagnosed,0.5696,0.5151
Temporal Pole,Temporal Occipital Fusiform Cortex,Diagnosed,0.569,0.5146
Frontal Pole,Cingulate Gyrus (posterior),Diagnosed,0.5659,0.5124
Inferior Frontal Gyrus (pars triangularis),Cuneal Cortex,Diagnosed,0.5651,0.5118
Superior Parietal Lobule,Central Opercular Cortex,Diagnosed,0.565,0.5117
Superior Parietal Lobule,Subcallosal Cortex,Diagnosed,0.5642,0.5111
Cingulate Gyrus (anterior),Parahippocampal Gyrus (anterior),Diagnosed,0.5628,0.5101
Insular Cortex,Central Opercular Cortex,Diagnosed,0.5624,0.5097
Lateral Occipital Cortex (inferior),Temporal Fusiform Cortex (posterior),Diagnosed,0.5609,0.5086
Inferior Frontal Gyrus (pars opercularis),Lateral Occipital Cortex (inferior),Diagnosed,0.5565,0.5054
Frontal Pole,Frontal Medial Cortex,Diagnosed,0.5565,0.5054
Insular Cortex,Cingulate Gyrus (anterior),Diagnosed,0.5502,0.5007
Insular Cortex,Subcallosal Cortex,Diagnosed,0.545,0.4967
Insular Cortex,Cuneal Cortex,Diagnosed,0.5445,0.4964
Frontal Orbital Cortex,Lingual Gyrus,Diagnosed,0.5437,0.4958
Postcentral Gyrus,Subcallosal Cortex,Diagnosed,0.5429,0.4952
Frontal Orbital Cortex,Parahippocampal Gyrus (posterior),Diagnosed,0.5421,0.4946
Insular Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.5395,0.4926
Superior Frontal Gyrus,Angular Gyrus,Diagnosed,0.5393,0.4924
Temporal Occipital Fusiform Cortex,Frontal Operculum Cortex,Diagnosed,0.5378,0.4913
Subcallosal Cortex,Planum Polare,Diagnosed,0.5375,0.4911
Insular Cortex,Supramarginal Gyrus (anterior),Diagnosed,0.5374,0.491
Lateral Occipital Cortex (inferior),Subcallosal Cortex,Diagnosed,0.537,0.4907
Insular Cortex,Parietal Operculum Cortex,Diagnosed,0.5359,0.4899
Inferior Frontal Gyrus (pars triangularis),Paracingulate Gyrus,Diagnosed,0.5347,0.489
Cingulate Gyrus (anterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.5344,0.4888
Paracingulate Gyrus,Parietal Operculum Cortex,Diagnosed,0.5343,0.4887
Frontal Pole,Superior Parietal Lobule,Diagnosed,0.5339,0.4884
Temporal Pole,Frontal Operculum Cortex,Diagnosed,0.531,0.4861
Angular Gyrus,Subcallosal Cortex,Diagnosed,0.5309,0.486
Inferior Temporal Gyrus (temporooccipital),Temporal Occipital Fusiform Cortex,Diagnosed,0.5303,0.4856
Inferior Frontal Gyrus (pars opercularis),Temporal Occipital Fusiform Cortex,Diagnosed,0.529,0.4846
Temporal Occipital Fusiform Cortex,Parietal Operculum Cortex,Diagnosed,0.5283,0.4841
Superior Frontal Gyrus,Supramarginal Gyrus (posterior),Diagnosed,0.5282,0.484
Inferior Frontal Gyrus (pars triangularis),Subcallosal Cortex,Diagnosed,0.5259,0.4823
Middle Frontal Gyrus,Occipital Fusiform Gyrus,Diagnosed,0.5253,0.4818
Precuneous Cortex,Planum Polare,Diagnosed,0.5243,0.481
Cingulate Gyrus (posterior),Parahippocampal Gyrus (anterior),Diagnosed,0.5235,0.4804
Inferior Frontal Gyrus (pars opercularis),Parahippocampal Gyrus (anterior),Diagnosed,0.5229,0.4799
Frontal Pole,Occipital Fusiform Gyrus,Diagnosed,0.5223,0.4795
Insular Cortex,Superior Frontal Gyrus,Diagnosed,0.5213,0.4787
Precentral Gyrus,Temporal Occipital Fusiform Cortex,Diagnosed,0.5178,0.476
Angular Gyrus,Paracingulate Gyrus,Diagnosed,0.5174,0.4757
Superior Temporal Gyrus (anterior),Frontal Operculum Cortex,Diagnosed,0.5117,0.4713
Inferior Frontal Gyrus (pars opercularis),Cingulate Gyrus (posterior),Diagnosed,0.5104,0.4703
Supramarginal Gyrus (posterior),Subcallosal Cortex,Diagnosed,0.5078,0.4682
Supramarginal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.5042,0.4654
Frontal Orbital Cortex,Occipital Fusiform Gyrus,Diagnosed,0.503,0.4645
Insular Cortex,Cingulate Gyrus (posterior),Diagnosed,0.5,0.4621
Frontal Pole,Temporal Occipital Fusiform Cortex,Diagnosed,0.4985,0.4609
Inferior Frontal Gyrus (pars opercularis),Superior Parietal Lobule,Diagnosed,0.494,0.4574
Temporal Fusiform Cortex (posterior),Planum Polare,Diagnosed,0.4931,0.4566
Supramarginal Gyrus (posterior),Paracingulate Gyrus,Diagnosed,0.4894,0.4537
Inferior Frontal Gyrus (pars opercularis),Angular Gyrus,Diagnosed,0.489,0.4534
Frontal Orbital Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.4879,0.4525
Parahippocampal Gyrus (posterior),Lingual Gyrus,Diagnosed,0.4878,0.4524
Supramarginal Gyrus (anterior),Central Opercular Cortex,Diagnosed,0.4854,0.4505
Supramarginal Gyrus (posterior),Parietal Operculum Cortex,Diagnosed,0.4833,0.4489
Middle Frontal Gyrus,Supramarginal Gyrus (anterior),Diagnosed,0.4833,0.4489
Frontal Pole,Parahippocampal Gyrus (anterior),Diagnosed,0.4813,0.4473
Cingulate Gyrus (posterior),Planum Polare,Diagnosed,0.4808,0.4469
Frontal Pole,Cuneal Cortex,Diagnosed,0.4799,0.4462
Superior Parietal Lobule,Parahippocampal Gyrus (anterior),Diagnosed,0.479,0.4455
Insular Cortex,Inferior Frontal Gyrus (pars triangularis),Diagnosed,0.4786,0.4451
Middle Frontal Gyrus,Inferior Frontal Gyrus (pars opercularis),Diagnosed,0.4783,0.4449
Frontal Pole,Lateral Occipital Cortex (inferior),Diagnosed,0.4774,0.4441
Parahippocampal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.475,0.4423
Inferior Frontal Gyrus (pars triangularis),Cingulate Gyrus (anterior),Diagnosed,0.4743,0.4417
Inferior Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (posterior),Diagnosed,0.4726,0.4403
Subcallosal Cortex,Parietal Operculum Cortex,Diagnosed,0.4711,0.4391
Inferior Frontal Gyrus (pars opercularis),Supramarginal Gyrus (anterior),Diagnosed,0.4684,0.4369
Superior Temporal Gyrus (posterior),Parietal Operculum Cortex,Diagnosed,0.4676,0.4363
Superior Temporal Gyrus (posterior),Middle Temporal Gyrus (posterior),Diagnosed,0.4676,0.4363
Frontal Pole,Supramarginal Gyrus (anterior),Diagnosed,0.4655,0.4345
Insular Cortex,Supramarginal Gyrus (posterior),Diagnosed,0.4622,0.4319
Inferior Frontal Gyrus (pars triangularis),Precentral Gyrus,Diagnosed,0.4604,0.4304
Angular Gyrus,Planum Polare,Diagnosed,0.4603,0.4303
Angular Gyrus,Lateral Occipital Cortex (inferior),Diagnosed,0.4596,0.4298
Inferior Frontal Gyrus (pars opercularis),Occipital Fusiform Gyrus,Diagnosed,0.4592,0.4294
Subcallosal Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,0.4584,0.4288
Inferior Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (anterior),Diagnosed,0.455,0.426
Subcallosal Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.454,0.4252
Inferior Frontal Gyrus (pars opercularis),Supramarginal Gyrus (posterior),Diagnosed,0.4539,0.4251
Parahippocampal Gyrus (anterior),Parietal Operculum Cortex,Diagnosed,0.4538,0.4251
Frontal Pole,Planum Polare,Diagnosed,0.4534,0.4247
Inferior Frontal Gyrus (pars opercularis),Cuneal Cortex,Diagnosed,0.4523,0.4238
Angular Gyrus,Parahippocampal Gyrus (anterior),Diagnosed,0.4488,0.4209
Angular Gyrus,Parietal Operculum Cortex,Diagnosed,0.4484,0.4206
Insular Cortex,Frontal Medial Cortex,Diagnosed,0.4479,0.4202
Inferior Frontal Gyrus (pars opercularis),Planum Polare,Diagnosed,0.4478,0.4201
Frontal Pole,Angular Gyrus,Diagnosed,0.4472,0.4196
Superior Frontal Gyrus,Inferior Frontal Gyrus (pars opercularis),Diagnosed,0.4471,0.4195
Parahippocampal Gyrus (anterior),Planum Polare,Diagnosed,0.4471,0.4195
Temporal Pole,Cuneal Cortex,Diagnosed,0.4465,0.419
Insular Cortex,Angular Gyrus,Diagnosed,0.445,0.4177
Inferior Frontal Gyrus (pars triangularis),Lateral Occipital Cortex (inferior),Diagnosed,0.4442,0.4172
Frontal Pole,Postcentral Gyrus,Diagnosed,0.4439,0.4169
Insular Cortex,Postcentral Gyrus,Diagnosed,0.4433,0.4164
Supramarginal Gyrus (anterior),Parahippocampal Gyrus (anterior),Diagnosed,0.4421,0.4154
