Source,Target,Group,Avg_Fisher_Z,Avg_r
Cingulate Gyrus (anterior),Central Opercular Cortex,Diagnosed,0.3534,0.3394
Frontal Medial Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,0.352,0.3381
Inferior Frontal Gyrus (pars triangularis),Angular Gyrus,Diagnosed,0.3509,0.3372
Frontal Medial Cortex,Temporal Fusiform Cortex (posterior),Diagnosed,0.3499,0.3363
Inferior Frontal Gyrus (pars triangularis),Precuneous Cortex,Diagnosed,0.3484,0.335
Lateral Occipital Cortex (inferior),Occipital Fusiform Gyrus,Diagnosed,0.3484,0.3349
Precuneous Cortex,Temporal Fusiform Cortex (posterior),Diagnosed,0.3481,0.3347
Insular Cortex,Middle Frontal Gyrus,Diagnosed,0.348,0.3346
Temporal Pole,Parahippocampal Gyrus (anterior),Diagnosed,0.3464,0.3331
Inferior Frontal Gyrus (pars triangularis),Occipital Fusiform Gyrus,Diagnosed,0.346,0.3328
Temporal Pole,Temporal Fusiform Cortex (posterior),Diagnosed,0.344,0.331
Insular Cortex,Planum Polare,Diagnosed,0.3431,0.3303
Supramarginal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.3429,0.3301
Occipital Fusiform Gyrus,Planum Polare,Diagnosed,0.3398,0.3273
Frontal Orbital Cortex,Parietal Operculum Cortex,Diagnosed,0.3392,0.3268
Precentral Gyrus,Planum Polare,Diagnosed,0.339,0.3266
Inferior Frontal Gyrus (pars opercularis),Precuneous Cortex,Diagnosed,0.3385,0.3261
Supramarginal Gyrus (anterior),Planum Polare,Diagnosed,0.3377,0.3254
Parahippocampal Gyrus (anterior),Frontal Operculum Cortex,Diagnosed,0.3375,0.3252
Inferior Frontal Gyrus (pars triangularis),Temporal Pole,Diagnosed,0.335,0.323
Superior Frontal Gyrus,Inferior Frontal Gyrus (pars triangularis),Diagnosed,0.3342,0.3223
Superior Parietal Lobule,Frontal Orbital Cortex,Diagnosed,0.3335,0.3217
Inferior Frontal Gyrus (pars triangularis),Supramarginal Gyrus (posterior),Diagnosed,0.3336,0.3217
Superior Parietal Lobule,Temporal Fusiform Cortex (posterior),Diagnosed,0.3326,0.3209
Lingual Gyrus,Occipital Fusiform Gyrus,Diagnosed,0.3323,0.3206
Frontal Pole,Frontal Operculum Cortex,Diagnosed,0.3317,0.3201
Superior Frontal Gyrus,Frontal Orbital Cortex,Diagnosed,0.3316,0.32
Superior Frontal Gyrus,Lateral Occipital Cortex (inferior),Diagnosed,0.3301,0.3186
Lateral Occipital Cortex (inferior),Lingual Gyrus,Diagnosed,0.329,0.3176
Precentral Gyrus,Cuneal Cortex,Diagnosed,0.3286,0.3173
Superior Frontal Gyrus,Parahippocampal Gyrus (anterior),Diagnosed,0.3284,0.3171
Intracalcarine Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,0.3276,0.3164
Inferior Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (inferior),Diagnosed,0.3273,0.3161
Inferior Temporal Gyrus (temporooccipital),Frontal Orbital Cortex,Diagnosed,0.3267,0.3155
Subcallosal Cortex,Frontal Orbital Cortex,Diagnosed,0.3251,0.3141
Inferior Temporal Gyrus (temporooccipital),Planum Polare,Diagnosed,0.3248,0.3138
Precuneous Cortex,Frontal Orbital Cortex,Diagnosed,0.3233,0.3125
Inferior Frontal Gyrus (pars triangularis),Frontal Operculum Cortex,Diagnosed,0.3232,0.3124
Middle Frontal Gyrus,Parietal Operculum Cortex,Diagnosed,0.3225,0.3118
Supramarginal Gyrus (posterior),Parahippocampal Gyrus (posterior),Diagnosed,0.3218,0.3112
Inferior Frontal Gyrus (pars opercularis),Lingual Gyrus,Diagnosed,0.3216,0.3109
Postcentral Gyrus,Planum Polare,Diagnosed,0.3211,0.3105
Frontal Orbital Cortex,Temporal Fusiform Cortex (posterior),Diagnosed,0.3204,0.3098
Superior Temporal Gyrus (anterior),Middle Temporal Gyrus (anterior),Diagnosed,0.3187,0.3083
Cingulate Gyrus (anterior),Precuneous Cortex,Diagnosed,0.3169,0.3067
Supramarginal Gyrus (posterior),Lingual Gyrus,Diagnosed,0.3162,0.306
Inferior Frontal Gyrus (pars opercularis),Temporal Pole,Diagnosed,0.315,0.305
Inferior Frontal Gyrus (pars triangularis),Supramarginal Gyrus (anterior),Diagnosed,0.3151,0.305
Precentral Gyrus,Frontal Orbital Cortex,Diagnosed,0.314,0.304
Inferior Frontal Gyrus (pars opercularis),Frontal Operculum Cortex,Diagnosed,0.3124,0.3026
Postcentral Gyrus,Temporal Fusiform Cortex (posterior),Diagnosed,0.3102,0.3006
Temporal Pole,Superior Temporal Gyrus (anterior),Diagnosed,0.3095,0.3
Paracingulate Gyrus,Cuneal Cortex,Diagnosed,0.3089,0.2995
Intracalcarine Cortex,Central Opercular Cortex,Diagnosed,0.3081,0.2987
Inferior Frontal Gyrus (pars opercularis),Parietal Operculum Cortex,Diagnosed,0.3072,0.2979
Cingulate Gyrus (anterior),Cuneal Cortex,Diagnosed,0.307,0.2977
Cuneal Cortex,Lingual Gyrus,Diagnosed,0.3067,0.2974
Supramarginal Gyrus (posterior),Precuneous Cortex,Diagnosed,0.3047,0.2956
Inferior Frontal Gyrus (pars opercularis),Frontal Orbital Cortex,Diagnosed,0.3042,0.2951
Frontal Operculum Cortex,Planum Polare,Diagnosed,0.3037,0.2947
Temporal Occipital Fusiform Cortex,Planum Polare,Diagnosed,0.3028,0.2939
Paracingulate Gyrus,Precuneous Cortex,Diagnosed,0.3028,0.2938
Lateral Occipital Cortex (inferior),Frontal Medial Cortex,Diagnosed,0.302,0.2931
Cuneal Cortex,Occipital Fusiform Gyrus,Diagnosed,0.3012,0.2924
Paracingulate Gyrus,Frontal Operculum Cortex,Diagnosed,0.3011,0.2923
Inferior Frontal Gyrus (pars triangularis),Postcentral Gyrus,Diagnosed,0.2994,0.2908
Frontal Pole,Frontal Orbital Cortex,Diagnosed,0.2985,0.2899
Middle Temporal Gyrus (posterior),Parietal Operculum Cortex,Diagnosed,0.2966,0.2882
Cuneal Cortex,Parahippocampal Gyrus (posterior),Diagnosed,0.2955,0.2872
Temporal Pole,Paracingulate Gyrus,Diagnosed,0.2951,0.2868
Superior Parietal Lobule,Planum Polare,Diagnosed,0.2948,0.2865
Subcallosal Cortex,Central Opercular Cortex,Diagnosed,0.2945,0.2862
Lingual Gyrus,Planum Polare,Diagnosed,0.2943,0.2861
Lateral Occipital Cortex (inferior),Frontal Orbital Cortex,Diagnosed,0.2939,0.2857
Cuneal Cortex,Frontal Operculum Cortex,Diagnosed,0.2937,0.2856
Precuneous Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.2934,0.2852
Postcentral Gyrus,Frontal Orbital Cortex,Diagnosed,0.2925,0.2845
Frontal Medial Cortex,Planum Polare,Diagnosed,0.2914,0.2834
Temporal Pole,Lateral Occipital Cortex (inferior),Diagnosed,0.2909,0.283
Subcallosal Cortex,Frontal Operculum Cortex,Diagnosed,0.288,0.2803
Insular Cortex,Frontal Orbital Cortex,Diagnosed,0.2874,0.2798
Frontal Pole,Precuneous Cortex,Diagnosed,0.2858,0.2783
Inferior Temporal Gyrus (temporooccipital),Cuneal Cortex,Diagnosed,0.2856,0.2781
Superior Parietal Lobule,Lingual Gyrus,Diagnosed,0.2853,0.2778
Lateral Occipital Cortex (inferior),Cuneal Cortex,Diagnosed,0.2845,0.2771
Parietal Operculum Cortex,Planum Polare,Diagnosed,0.2831,0.2757
Temporal Pole,Central Opercular Cortex,Diagnosed,0.2827,0.2754
Angular Gyrus,Frontal Orbital Cortex,Diagnosed,0.2822,0.275
Precuneous Cortex,Parahippocampal Gyrus (posterior),Diagnosed,0.2818,0.2746
Inferior Temporal Gyrus (temporooccipital),Lingual Gyrus,Diagnosed,0.2815,0.2743
Superior Parietal Lobule,Cuneal Cortex,Diagnosed,0.2814,0.2742
Temporal Pole,Occipital Fusiform Gyrus,Diagnosed,0.2814,0.2742
Middle Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (inferior),Diagnosed,0.2812,0.2741
Temporal Fusiform Cortex (posterior),Parietal Operculum Cortex,Diagnosed,0.2786,0.2717
Frontal Orbital Cortex,Planum Polare,Diagnosed,0.2786,0.2716
Cingulate Gyrus (posterior),Parahippocampal Gyrus (posterior),Diagnosed,0.2784,0.2714
Temporal Pole,Superior Parietal Lobule,Diagnosed,0.2783,0.2713
Frontal Orbital Cortex,Central Opercular Cortex,Diagnosed,0.2781,0.2711
Superior Temporal Gyrus (posterior),Occipital Fusiform Gyrus,Diagnosed,0.2761,0.2693
Cingulate Gyrus (anterior),Parahippocampal Gyrus (posterior),Diagnosed,0.2752,0.2685
Superior Parietal Lobule,Lateral Occipital Cortex (inferior),Diagnosed,0.2748,0.2681
Inferior Frontal Gyrus (pars triangularis),Frontal Orbital Cortex,Diagnosed,0.2745,0.2678
Supramarginal Gyrus (anterior),Lingual Gyrus,Diagnosed,0.2734,0.2668
Insular Cortex,Intracalcarine Cortex,Diagnosed,0.2731,0.2665
Frontal Medial Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.2718,0.2653
Precuneous Cortex,Frontal Operculum Cortex,Diagnosed,0.2717,0.2652
Supramarginal Gyrus (posterior),Cuneal Cortex,Diagnosed,0.2699,0.2636
Superior Frontal Gyrus,Precuneous Cortex,Diagnosed,0.2691,0.2628
Lingual Gyrus,Temporal Fusiform Cortex (posterior),Diagnosed,0.2683,0.262
Paracingulate Gyrus,Frontal Orbital Cortex,Diagnosed,0.2668,0.2606
Precuneous Cortex,Occipital Fusiform Gyrus,Diagnosed,0.2663,0.2602
Superior Temporal Gyrus (anterior),Lateral Occipital Cortex (inferior),Diagnosed,0.2648,0.2588
Middle Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (anterior),Diagnosed,0.2643,0.2583
Parahippocampal Gyrus (anterior),Central Opercular Cortex,Diagnosed,0.2633,0.2574
Subcallosal Cortex,Cuneal Cortex,Diagnosed,0.2632,0.2572
Postcentral Gyrus,Lingual Gyrus,Diagnosed,0.2612,0.2554
Parahippocampal Gyrus (posterior),Parietal Operculum Cortex,Diagnosed,0.26,0.2543
Lingual Gyrus,Parietal Operculum Cortex,Diagnosed,0.2593,0.2537
Frontal Pole,Temporal Pole,Diagnosed,0.2579,0.2524
Frontal Pole,Middle Temporal Gyrus (temporooccipital),Diagnosed,0.2556,0.2502
Inferior Frontal Gyrus (pars triangularis),Lingual Gyrus,Diagnosed,0.2556,0.2502
Lateral Occipital Cortex (superior),Lateral Occipital Cortex (inferior),Diagnosed,0.2554,0.25
Insular Cortex,Precuneous Cortex,Diagnosed,0.2549,0.2495
Paracingulate Gyrus,Parahippocampal Gyrus (posterior),Diagnosed,0.2549,0.2495
Precuneous Cortex,Lingual Gyrus,Diagnosed,0.2537,0.2484
Temporal Pole,Parietal Operculum Cortex,Diagnosed,0.2531,0.2478
Angular Gyrus,Lingual Gyrus,Diagnosed,0.2524,0.2471
Inferior Frontal Gyrus (pars triangularis),Frontal Medial Cortex,Diagnosed,0.2513,0.2461
Superior Temporal Gyrus (anterior),Precuneous Cortex,Diagnosed,0.2499,0.2448
Precentral Gyrus,Lingual Gyrus,Diagnosed,0.2495,0.2445
Postcentral Gyrus,Lateral Occipital Cortex (inferior),Diagnosed,0.2492,0.2442
Middle Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (posterior),Diagnosed,0.2491,0.2441
Subcallosal Cortex,Lingual Gyrus,Diagnosed,0.2482,0.2432
Lateral Occipital Cortex (superior),Parahippocampal Gyrus (anterior),Diagnosed,0.2479,0.2429
Cuneal Cortex,Parietal Operculum Cortex,Diagnosed,0.2478,0.2429
Subcallosal Cortex,Parahippocampal Gyrus (posterior),Diagnosed,0.2465,0.2416
Superior Temporal Gyrus (posterior),Supramarginal Gyrus (anterior),Diagnosed,0.2441,0.2394
Superior Temporal Gyrus (posterior),Superior Parietal Lobule,Diagnosed,0.2437,0.239
Lateral Occipital Cortex (inferior),Parietal Operculum Cortex,Diagnosed,0.2431,0.2385
Postcentral Gyrus,Precuneous Cortex,Diagnosed,0.2413,0.2367
Frontal Orbital Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,0.2404,0.2359
Precuneous Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,0.2397,0.2352
Occipital Fusiform Gyrus,Frontal Operculum Cortex,Diagnosed,0.2397,0.2352
Parahippocampal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.2381,0.2337
Supramarginal Gyrus (anterior),Intracalcarine Cortex,Diagnosed,0.2377,0.2334
Superior Temporal Gyrus (anterior),Subcallosal Cortex,Diagnosed,0.2377,0.2333
Inferior Temporal Gyrus (temporooccipital),Precuneous Cortex,Diagnosed,0.2371,0.2328
Superior Temporal Gyrus (anterior),Planum Polare,Diagnosed,0.2369,0.2325
Inferior Frontal Gyrus (pars opercularis),Middle Temporal Gyrus (temporooccipital),Diagnosed,0.235,0.2307
Cingulate Gyrus (posterior),Frontal Operculum Cortex,Diagnosed,0.2345,0.2302
Middle Frontal Gyrus,Central Opercular Cortex,Diagnosed,0.2328,0.2287
Insular Cortex,Superior Temporal Gyrus (anterior),Diagnosed,0.232,0.228
Superior Parietal Lobule,Parahippocampal Gyrus (posterior),Diagnosed,0.2314,0.2274
Cingulate Gyrus (anterior),Frontal Operculum Cortex,Diagnosed,0.2304,0.2264
Superior Parietal Lobule,Intracalcarine Cortex,Diagnosed,0.2297,0.2258
Middle Frontal Gyrus,Planum Polare,Diagnosed,0.2291,0.2252
Frontal Pole,Parahippocampal Gyrus (posterior),Diagnosed,0.229,0.225
Superior Temporal Gyrus (anterior),Paracingulate Gyrus,Diagnosed,0.2283,0.2244
Angular Gyrus,Parahippocampal Gyrus (posterior),Diagnosed,0.228,0.2242
Cuneal Cortex,Frontal Orbital Cortex,Diagnosed,0.2281,0.2242
Cingulate Gyrus (posterior),Cuneal Cortex,Diagnosed,0.2279,0.224
Middle Frontal Gyrus,Frontal Orbital Cortex,Diagnosed,0.2278,0.2239
Middle Temporal Gyrus (temporooccipital),Angular Gyrus,Diagnosed,0.227,0.2232
Precentral Gyrus,Temporal Pole,Diagnosed,0.2264,0.2226
Middle Temporal Gyrus (temporooccipital),Planum Polare,Diagnosed,0.226,0.2222
Inferior Temporal Gyrus (anterior),Parahippocampal Gyrus (posterior),Diagnosed,0.2246,0.2209
Frontal Pole,Lingual Gyrus,Diagnosed,0.2246,0.2209
Superior Temporal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.2237,0.22
Superior Temporal Gyrus (posterior),Frontal Medial Cortex,Diagnosed,0.2233,0.2197
Inferior Frontal Gyrus (pars triangularis),Parietal Operculum Cortex,Diagnosed,0.2234,0.2197
Paracingulate Gyrus,Lingual Gyrus,Diagnosed,0.2221,0.2185
Angular Gyrus,Frontal Operculum Cortex,Diagnosed,0.222,0.2184
Insular Cortex,Parahippocampal Gyrus (posterior),Diagnosed,0.2218,0.2183
Supramarginal Gyrus (posterior),Frontal Operculum Cortex,Diagnosed,0.221,0.2174
Superior Frontal Gyrus,Parahippocampal Gyrus (posterior),Diagnosed,0.2207,0.2172
Cuneal Cortex,Planum Polare,Diagnosed,0.2205,0.217
Precentral Gyrus,Precuneous Cortex,Diagnosed,0.2202,0.2167
Temporal Pole,Supramarginal Gyrus (anterior),Diagnosed,0.2187,0.2153
Supramarginal Gyrus (anterior),Parahippocampal Gyrus (posterior),Diagnosed,0.2179,0.2146
Middle Temporal Gyrus (temporooccipital),Lingual Gyrus,Diagnosed,0.218,0.2146
Temporal Pole,Angular Gyrus,Diagnosed,0.2164,0.2131
Middle Frontal Gyrus,Parahippocampal Gyrus (anterior),Diagnosed,0.216,0.2127
Superior Temporal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.2152,0.2119
Superior Parietal Lobule,Precuneous Cortex,Diagnosed,0.2148,0.2116
Parahippocampal Gyrus (posterior),Planum Polare,Diagnosed,0.2142,0.211
Precuneous Cortex,Parietal Operculum Cortex,Diagnosed,0.2128,0.2097
Precuneous Cortex,Central Opercular Cortex,Diagnosed,0.2122,0.209
Middle Temporal Gyrus (temporooccipital),Supramarginal Gyrus (anterior),Diagnosed,0.2102,0.2071
Superior Temporal Gyrus (posterior),Cingulate Gyrus (posterior),Diagnosed,0.2094,0.2064
Frontal Medial Cortex,Precuneous Cortex,Diagnosed,0.2073,0.2044
Parahippocampal Gyrus (posterior),Central Opercular Cortex,Diagnosed,0.2073,0.2044
Temporal Pole,Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.2068,0.2039
Middle Temporal Gyrus (temporooccipital),Supramarginal Gyrus (posterior),Diagnosed,0.2059,0.203
Middle Temporal Gyrus (posterior),Occipital Fusiform Gyrus,Diagnosed,0.2056,0.2027
Superior Temporal Gyrus (posterior),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.2053,0.2025
Inferior Frontal Gyrus (pars triangularis),Middle Temporal Gyrus (temporooccipital),Diagnosed,0.2043,0.2015
Middle Temporal Gyrus (temporooccipital),Cingulate Gyrus (posterior),Diagnosed,0.2042,0.2014
Inferior Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (posterior),Diagnosed,0.204,0.2013
Middle Temporal Gyrus (temporooccipital),Cingulate Gyrus (anterior),Diagnosed,0.2038,0.2011
Parahippocampal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.2035,0.2007
Middle Frontal Gyrus,Temporal Occipital Fusiform Cortex,Diagnosed,0.2018,0.1991
Middle Temporal Gyrus (temporooccipital),Frontal Orbital Cortex,Diagnosed,0.2012,0.1986
Supramarginal Gyrus (anterior),Frontal Operculum Cortex,Diagnosed,0.2002,0.1976
Insular Cortex,Lingual Gyrus,Diagnosed,0.2002,0.1975
Middle Temporal Gyrus (temporooccipital),Subcallosal Cortex,Diagnosed,0.1996,0.197
Superior Temporal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.1992,0.1966
Supramarginal Gyrus (anterior),Precuneous Cortex,Diagnosed,0.1988,0.1963
Superior Temporal Gyrus (posterior),Parahippocampal Gyrus (posterior),Diagnosed,0.1988,0.1962
Lateral Occipital Cortex (superior),Frontal Operculum Cortex,Diagnosed,0.1983,0.1958
Frontal Medial Cortex,Frontal Orbital Cortex,Diagnosed,0.1979,0.1953
Temporal Pole,Cingulate Gyrus (anterior),Diagnosed,0.1978,0.1953
Insular Cortex,Superior Temporal Gyrus (posterior),Diagnosed,0.1973,0.1948
Supramarginal Gyrus (anterior),Cuneal Cortex,Diagnosed,0.197,0.1945
Superior Parietal Lobule,Frontal Operculum Cortex,Diagnosed,0.1966,0.1941
Inferior Temporal Gyrus (posterior),Lateral Occipital Cortex (inferior),Diagnosed,0.1954,0.193
Angular Gyrus,Cuneal Cortex,Diagnosed,0.1942,0.1918
Lateral Occipital Cortex (inferior),Parahippocampal Gyrus (posterior),Diagnosed,0.1941,0.1917
Parahippocampal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.1938,0.1914
Superior Frontal Gyrus,Superior Temporal Gyrus (posterior),Diagnosed,0.1935,0.1912
Precentral Gyrus,Parahippocampal Gyrus (posterior),Diagnosed,0.1924,0.19
Middle Temporal Gyrus (posterior),Central Opercular Cortex,Diagnosed,0.1917,0.1894
Juxtapositional Lobule Cortex,Frontal Operculum Cortex,Diagnosed,0.1912,0.1889
Frontal Medial Cortex,Parahippocampal Gyrus (posterior),Diagnosed,0.1908,0.1885
Superior Temporal Gyrus (posterior),Supramarginal Gyrus (posterior),Diagnosed,0.1896,0.1873
Superior Frontal Gyrus,Lingual Gyrus,Diagnosed,0.1891,0.1868
Intracalcarine Cortex,Frontal Operculum Cortex,Diagnosed,0.1886,0.1864
Middle Temporal Gyrus (temporooccipital),Parietal Operculum Cortex,Diagnosed,0.188,0.1858
Postcentral Gyrus,Intracalcarine Cortex,Diagnosed,0.1879,0.1857
Superior Temporal Gyrus (posterior),Postcentral Gyrus,Diagnosed,0.1876,0.1854
Frontal Medial Cortex,Cuneal Cortex,Diagnosed,0.1857,0.1836
Temporal Pole,Lingual Gyrus,Diagnosed,0.1844,0.1824
Temporal Pole,Supramarginal Gyrus (posterior),Diagnosed,0.1837,0.1816
Temporal Pole,Cingulate Gyrus (posterior),Diagnosed,0.181,0.1791
Precentral Gyrus,Superior Temporal Gyrus (posterior),Diagnosed,0.178,0.1761
Frontal Pole,Central Opercular Cortex,Diagnosed,0.1776,0.1757
Temporal Pole,Subcallosal Cortex,Diagnosed,0.1768,0.175
Middle Frontal Gyrus,Precuneous Cortex,Diagnosed,0.1758,0.174
Supramarginal Gyrus (anterior),Lateral Occipital Cortex (superior),Diagnosed,0.1757,0.1739
Superior Frontal Gyrus,Frontal Operculum Cortex,Diagnosed,0.1731,0.1714
Superior Temporal Gyrus (anterior),Supramarginal Gyrus (posterior),Diagnosed,0.1726,0.1709
Precuneous Cortex,Planum Temporale,Diagnosed,0.1719,0.1702
Frontal Operculum Cortex,Parietal Operculum Cortex,Diagnosed,0.1712,0.1695
Middle Temporal Gyrus (posterior),Inferior Temporal Gyrus (anterior),Diagnosed,0.1703,0.1686
Temporal Pole,Lateral Occipital Cortex (superior),Diagnosed,0.1694,0.1678
Lingual Gyrus,Temporal Occipital Fusiform Cortex,Diagnosed,0.1688,0.1672
Inferior Frontal Gyrus (pars opercularis),Lateral Occipital Cortex (superior),Diagnosed,0.1682,0.1666
Middle Frontal Gyrus,Lingual Gyrus,Diagnosed,0.1674,0.1659
Middle Temporal Gyrus (temporooccipital),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.167,0.1654
Inferior Temporal Gyrus (temporooccipital),Intracalcarine Cortex,Diagnosed,0.1669,0.1653
Middle Temporal Gyrus (temporooccipital),Inferior Temporal Gyrus (posterior),Diagnosed,0.1666,0.1651
Parahippocampal Gyrus (posterior),Frontal Operculum Cortex,Diagnosed,0.1663,0.1648
Middle Frontal Gyrus,Cuneal Cortex,Diagnosed,0.1648,0.1633
Middle Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (posterior),Diagnosed,0.1641,0.1627
Middle Temporal Gyrus (temporooccipital),Frontal Medial Cortex,Diagnosed,0.1631,0.1617
Cuneal Cortex,Central Opercular Cortex,Diagnosed,0.1626,0.1612
Precentral Gyrus,Middle Temporal Gyrus (temporooccipital),Diagnosed,0.1625,0.1611
Inferior Frontal Gyrus (pars opercularis),Parahippocampal Gyrus (posterior),Diagnosed,0.1622,0.1608
Precuneous Cortex,Cuneal Cortex,Diagnosed,0.1614,0.1601
Central Opercular Cortex,Planum Polare,Diagnosed,0.1612,0.1598
Intracalcarine Cortex,Cuneal Cortex,Diagnosed,0.161,0.1597
Frontal Operculum Cortex,Central Opercular Cortex,Diagnosed,0.1604,0.1591
Intracalcarine Cortex,Juxtapositional Lobule Cortex,Diagnosed,0.1603,0.159
Frontal Medial Cortex,Lingual Gyrus,Diagnosed,0.1596,0.1583
Angular Gyrus,Lateral Occipital Cortex (superior),Diagnosed,0.159,0.1576
Middle Temporal Gyrus (posterior),Parahippocampal Gyrus (posterior),Diagnosed,0.1579,0.1566
Planum Polare,Planum Temporale,Diagnosed,0.1571,0.1559
Middle Temporal Gyrus (posterior),Frontal Medial Cortex,Diagnosed,0.1569,0.1556
Inferior Frontal Gyrus (pars triangularis),Superior Temporal Gyrus (anterior),Diagnosed,0.1563,0.155
Frontal Operculum Cortex,Planum Temporale,Diagnosed,0.1558,0.1546
Postcentral Gyrus,Cuneal Cortex,Diagnosed,0.1547,0.1535
Intracalcarine Cortex,Frontal Orbital Cortex,Diagnosed,-0.1547,-0.1535
Inferior Temporal Gyrus (posterior),Planum Polare,Diagnosed,0.1542,0.153
Middle Temporal Gyrus (temporooccipital),Postcentral Gyrus,Diagnosed,0.154,0.1528
Superior Temporal Gyrus (posterior),Angular Gyrus,Diagnosed,0.1532,0.152
Temporal Occipital Fusiform Cortex,Planum Temporale,Diagnosed,0.1527,0.1516
Superior Temporal Gyrus (posterior),Precuneous Cortex,Diagnosed,0.1526,0.1514
Inferior Temporal Gyrus (temporooccipital),Frontal Operculum Cortex,Diagnosed,0.1526,0.1514
Superior Frontal Gyrus,Cuneal Cortex,Diagnosed,0.1525,0.1513
Temporal Pole,Precuneous Cortex,Diagnosed,0.1521,0.151
Postcentral Gyrus,Parahippocampal Gyrus (posterior),Diagnosed,0.1512,0.15
Temporal Pole,Intracalcarine Cortex,Diagnosed,0.151,0.1499
Lingual Gyrus,Central Opercular Cortex,Diagnosed,0.1511,0.1499
Temporal Pole,Planum Polare,Diagnosed,0.151,0.1498
Superior Temporal Gyrus (anterior),Occipital Fusiform Gyrus,Diagnosed,0.1502,0.149
Lateral Occipital Cortex (inferior),Temporal Fusiform Cortex (anterior),Diagnosed,0.1498,0.1487
Inferior Frontal Gyrus (pars opercularis),Superior Temporal Gyrus (anterior),Diagnosed,0.1493,0.1482
Precentral Gyrus,Intracalcarine Cortex,Diagnosed,0.1492,0.1481
Lateral Occipital Cortex (superior),Subcallosal Cortex,Diagnosed,0.1488,0.1478
Superior Temporal Gyrus (posterior),Cingulate Gyrus (anterior),Diagnosed,0.1487,0.1476
Intracalcarine Cortex,Parietal Operculum Cortex,Diagnosed,0.1487,0.1476
Superior Temporal Gyrus (posterior),Inferior Temporal Gyrus (anterior),Diagnosed,0.1479,0.1468
Middle Temporal Gyrus (temporooccipital),Occipital Fusiform Gyrus,Diagnosed,0.1478,0.1467
Lateral Occipital Cortex (superior),Temporal Fusiform Cortex (anterior),Diagnosed,0.1474,0.1464
Intracalcarine Cortex,Occipital Fusiform Gyrus,Diagnosed,0.1469,0.1459
Precentral Gyrus,Frontal Operculum Cortex,Diagnosed,0.1456,0.1446
Precuneous Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,0.1452,0.1442
Insular Cortex,Lateral Occipital Cortex (superior),Diagnosed,0.1447,0.1437
Frontal Pole,Superior Temporal Gyrus (anterior),Diagnosed,0.1441,0.1431
Lateral Occipital Cortex (superior),Occipital Fusiform Gyrus,Diagnosed,0.1441,0.1431
Superior Temporal Gyrus (anterior),Cingulate Gyrus (anterior),Diagnosed,0.1427,0.1417
Superior Frontal Gyrus,Middle Temporal Gyrus (posterior),Diagnosed,0.1419,0.1409
Temporal Pole,Juxtapositional Lobule Cortex,Diagnosed,0.1416,0.1407
Supramarginal Gyrus (posterior),Intracalcarine Cortex,Diagnosed,0.1411,0.1402
Middle Temporal Gyrus (temporooccipital),Paracingulate Gyrus,Diagnosed,0.1409,0.14
Superior Temporal Gyrus (anterior),Supramarginal Gyrus (anterior),Diagnosed,0.14,0.1391
Superior Temporal Gyrus (posterior),Parahippocampal Gyrus (anterior),Diagnosed,0.1397,0.1388
Frontal Pole,Intracalcarine Cortex,Diagnosed,0.1393,0.1384
Superior Parietal Lobule,Lateral Occipital Cortex (superior),Diagnosed,0.1389,0.138
Superior Frontal Gyrus,Middle Temporal Gyrus (temporooccipital),Diagnosed,0.1386,0.1377
Middle Frontal Gyrus,Parahippocampal Gyrus (posterior),Diagnosed,0.1375,0.1367
Superior Temporal Gyrus (anterior),Angular Gyrus,Diagnosed,0.1372,0.1363
Angular Gyrus,Intracalcarine Cortex,Diagnosed,0.1366,0.1357
Temporal Pole,Middle Temporal Gyrus (temporooccipital),Diagnosed,0.1359,0.1351
Superior Temporal Gyrus (anterior),Central Opercular Cortex,Diagnosed,0.135,0.1342
Intracalcarine Cortex,Planum Temporale,Diagnosed,0.1347,0.1339
Inferior Temporal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.1339,0.1331
Juxtapositional Lobule Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,0.1337,0.1329
