Source,Target,Group,Avg_Fisher_Z,Avg_r
Cuneal Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,0.7579,0.6399
Frontal Medial Cortex,Cingulate Gyrus (posterior),Subthreshold,0.752,0.6364
Lateral Occipital Cortex (inferior),Planum Polare,Subthreshold,0.7395,0.6289
Frontal Pole,Cingulate Gyrus (posterior),Subthreshold,0.737,0.6273
Middle Frontal Gyrus,Paracingulate Gyrus,Subthreshold,0.7331,0.625
Frontal Medial Cortex,Subcallosal Cortex,Subthreshold,0.733,0.6249
Superior Parietal Lobule,Angular Gyrus,Subthreshold,0.7307,0.6235
Postcentral Gyrus,Supramarginal Gyrus (posterior),Subthreshold,0.7277,0.6217
Insular Cortex,Paracingulate Gyrus,Subthreshold,0.7241,0.6194
Frontal Pole,Middle Frontal Gyrus,Subthreshold,0.724,0.6194
Subcallosal Cortex,Cingulate Gyrus (posterior),Subthreshold,0.721,0.6175
Precentral Gyrus,Angular Gyrus,Subthreshold,0.7177,0.6155
Temporal Occipital Fusiform Cortex,Central Opercular Cortex,Subthreshold,0.717,0.615
Frontal Pole,Insular Cortex,Subthreshold,0.7143,0.6133
Inferior Temporal Gyrus (temporooccipital),Subcallosal Cortex,Subthreshold,0.714,0.6132
Frontal Pole,Cingulate Gyrus (anterior),Subthreshold,0.7083,0.6096
Superior Parietal Lobule,Supramarginal Gyrus (posterior),Subthreshold,0.7082,0.6095
Insular Cortex,Subcallosal Cortex,Subthreshold,0.7028,0.6061
Inferior Frontal Gyrus (pars opercularis),Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.7017,0.6055
Superior Frontal Gyrus,Supramarginal Gyrus (anterior),Subthreshold,0.6975,0.6028
Frontal Pole,Inferior Frontal Gyrus (pars triangularis),Subthreshold,0.6953,0.6014
Supramarginal Gyrus (anterior),Frontal Medial Cortex,Subthreshold,0.6884,0.597
Superior Parietal Lobule,Frontal Medial Cortex,Subthreshold,0.6847,0.5946
Middle Frontal Gyrus,Frontal Medial Cortex,Subthreshold,0.6844,0.5944
Paracingulate Gyrus,Temporal Fusiform Cortex (posterior),Subthreshold,0.6823,0.593
Postcentral Gyrus,Frontal Medial Cortex,Subthreshold,0.6821,0.5929
Inferior Temporal Gyrus (temporooccipital),Supramarginal Gyrus (posterior),Subthreshold,0.6818,0.5927
Frontal Pole,Frontal Medial Cortex,Subthreshold,0.6818,0.5927
Inferior Temporal Gyrus (temporooccipital),Occipital Fusiform Gyrus,Subthreshold,0.6772,0.5897
Precentral Gyrus,Temporal Fusiform Cortex (posterior),Subthreshold,0.6667,0.5828
Inferior Frontal Gyrus (pars opercularis),Paracingulate Gyrus,Subthreshold,0.6592,0.5778
Subcallosal Cortex,Temporal Fusiform Cortex (posterior),Subthreshold,0.6556,0.5754
Supramarginal Gyrus (posterior),Cingulate Gyrus (anterior),Subthreshold,0.6553,0.5752
Angular Gyrus,Occipital Fusiform Gyrus,Subthreshold,0.6508,0.5722
Middle Frontal Gyrus,Supramarginal Gyrus (anterior),Subthreshold,0.6493,0.5712
Frontal Pole,Supramarginal Gyrus (anterior),Subthreshold,0.6476,0.57
Cingulate Gyrus (posterior),Occipital Fusiform Gyrus,Subthreshold,0.6462,0.5691
Insular Cortex,Inferior Frontal Gyrus (pars opercularis),Subthreshold,0.6457,0.5687
Inferior Frontal Gyrus (pars opercularis),Subcallosal Cortex,Subthreshold,0.6432,0.5671
Postcentral Gyrus,Paracingulate Gyrus,Subthreshold,0.6417,0.566
Frontal Pole,Superior Parietal Lobule,Subthreshold,0.6416,0.566
Frontal Pole,Temporal Occipital Fusiform Cortex,Subthreshold,0.6408,0.5655
Middle Frontal Gyrus,Superior Parietal Lobule,Subthreshold,0.6398,0.5648
Subcallosal Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,0.6371,0.563
Superior Frontal Gyrus,Angular Gyrus,Subthreshold,0.6358,0.562
Supramarginal Gyrus (posterior),Occipital Fusiform Gyrus,Subthreshold,0.6355,0.5618
Precentral Gyrus,Supramarginal Gyrus (posterior),Subthreshold,0.6295,0.5577
Temporal Fusiform Cortex (posterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.6284,0.5569
Superior Frontal Gyrus,Superior Parietal Lobule,Subthreshold,0.6265,0.5556
Inferior Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (posterior),Subthreshold,0.624,0.5539
Temporal Pole,Frontal Operculum Cortex,Subthreshold,0.6209,0.5517
Paracingulate Gyrus,Temporal Occipital Fusiform Cortex,Subthreshold,0.6202,0.5513
Superior Parietal Lobule,Paracingulate Gyrus,Subthreshold,0.6191,0.5505
Occipital Fusiform Gyrus,Central Opercular Cortex,Subthreshold,0.6171,0.5491
Cuneal Cortex,Temporal Fusiform Cortex (posterior),Subthreshold,0.6152,0.5478
Middle Frontal Gyrus,Subcallosal Cortex,Subthreshold,0.6151,0.5477
Frontal Pole,Cuneal Cortex,Subthreshold,0.6142,0.547
Angular Gyrus,Frontal Medial Cortex,Subthreshold,0.605,0.5406
Central Opercular Cortex,Parietal Operculum Cortex,Subthreshold,0.6018,0.5383
Inferior Frontal Gyrus (pars triangularis),Precentral Gyrus,Subthreshold,0.5974,0.5352
Supramarginal Gyrus (anterior),Paracingulate Gyrus,Subthreshold,0.5938,0.5326
Frontal Pole,Supramarginal Gyrus (posterior),Subthreshold,0.5912,0.5307
Lateral Occipital Cortex (inferior),Parahippocampal Gyrus (anterior),Subthreshold,0.5894,0.5295
Postcentral Gyrus,Occipital Fusiform Gyrus,Subthreshold,0.5889,0.5291
Insular Cortex,Planum Polare,Subthreshold,0.5886,0.5289
Frontal Pole,Angular Gyrus,Subthreshold,0.5863,0.5273
Parahippocampal Gyrus (anterior),Occipital Fusiform Gyrus,Subthreshold,0.5863,0.5272
Angular Gyrus,Paracingulate Gyrus,Subthreshold,0.5842,0.5257
Inferior Frontal Gyrus (pars opercularis),Temporal Occipital Fusiform Cortex,Subthreshold,0.5811,0.5235
Insular Cortex,Central Opercular Cortex,Subthreshold,0.581,0.5234
Frontal Pole,Postcentral Gyrus,Subthreshold,0.5776,0.5209
Temporal Occipital Fusiform Cortex,Planum Polare,Subthreshold,0.5763,0.52
Supramarginal Gyrus (posterior),Frontal Medial Cortex,Subthreshold,0.5763,0.5199
Parahippocampal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.573,0.5176
Angular Gyrus,Precuneous Cortex,Subthreshold,0.5703,0.5155
Cingulate Gyrus (anterior),Occipital Fusiform Gyrus,Subthreshold,0.5691,0.5147
Lateral Occipital Cortex (inferior),Temporal Occipital Fusiform Cortex,Subthreshold,0.5666,0.5128
Middle Frontal Gyrus,Angular Gyrus,Subthreshold,0.5639,0.5108
Insular Cortex,Precentral Gyrus,Subthreshold,0.5584,0.5068
Inferior Frontal Gyrus (pars opercularis),Superior Parietal Lobule,Subthreshold,0.5572,0.5059
Cingulate Gyrus (posterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.5562,0.5052
Inferior Frontal Gyrus (pars triangularis),Paracingulate Gyrus,Subthreshold,0.5558,0.5048
Supramarginal Gyrus (anterior),Subcallosal Cortex,Subthreshold,0.5553,0.5045
Angular Gyrus,Subcallosal Cortex,Subthreshold,0.554,0.5035
Insular Cortex,Inferior Frontal Gyrus (pars triangularis),Subthreshold,0.5535,0.5031
Postcentral Gyrus,Subcallosal Cortex,Subthreshold,0.5494,0.5001
Temporal Occipital Fusiform Cortex,Frontal Operculum Cortex,Subthreshold,0.5486,0.4995
Inferior Frontal Gyrus (pars triangularis),Cuneal Cortex,Subthreshold,0.5483,0.4993
Inferior Frontal Gyrus (pars triangularis),Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.5461,0.4976
Superior Temporal Gyrus (anterior),Frontal Operculum Cortex,Subthreshold,0.5446,0.4965
Temporal Pole,Cuneal Cortex,Subthreshold,0.543,0.4952
Superior Parietal Lobule,Parietal Operculum Cortex,Subthreshold,0.5424,0.4948
Superior Parietal Lobule,Subcallosal Cortex,Subthreshold,0.54,0.493
Insular Cortex,Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.5398,0.4928
Superior Frontal Gyrus,Supramarginal Gyrus (posterior),Subthreshold,0.5389,0.4922
Cingulate Gyrus (posterior),Precuneous Cortex,Subthreshold,0.5382,0.4916
Superior Frontal Gyrus,Inferior Frontal Gyrus (pars opercularis),Subthreshold,0.537,0.4907
Precentral Gyrus,Occipital Fusiform Gyrus,Subthreshold,0.5367,0.4905
Insular Cortex,Frontal Operculum Cortex,Subthreshold,0.5364,0.4903
Inferior Frontal Gyrus (pars triangularis),Subcallosal Cortex,Subthreshold,0.5341,0.4885
Temporal Pole,Superior Temporal Gyrus (anterior),Subthreshold,0.5339,0.4883
Inferior Temporal Gyrus (temporooccipital),Temporal Occipital Fusiform Cortex,Subthreshold,0.5337,0.4882
Superior Parietal Lobule,Temporal Occipital Fusiform Cortex,Subthreshold,0.5325,0.4873
Insular Cortex,Lateral Occipital Cortex (inferior),Subthreshold,0.5261,0.4824
Insular Cortex,Cingulate Gyrus (anterior),Subthreshold,0.522,0.4793
Inferior Frontal Gyrus (pars opercularis),Cuneal Cortex,Subthreshold,0.5199,0.4776
Insular Cortex,Cingulate Gyrus (posterior),Subthreshold,0.5184,0.4765
Inferior Frontal Gyrus (pars opercularis),Cingulate Gyrus (anterior),Subthreshold,0.5171,0.4755
Insular Cortex,Superior Parietal Lobule,Subthreshold,0.5168,0.4752
Inferior Frontal Gyrus (pars opercularis),Frontal Medial Cortex,Subthreshold,0.5162,0.4748
Subcallosal Cortex,Planum Polare,Subthreshold,0.5117,0.4713
Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Subthreshold,0.5063,0.467
Temporal Pole,Temporal Occipital Fusiform Cortex,Subthreshold,0.5058,0.4667
Supramarginal Gyrus (posterior),Subcallosal Cortex,Subthreshold,0.504,0.4653
Insular Cortex,Occipital Fusiform Gyrus,Subthreshold,0.5037,0.465
Cingulate Gyrus (anterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.5032,0.4647
Subcallosal Cortex,Cuneal Cortex,Subthreshold,0.5016,0.4634
Precentral Gyrus,Temporal Occipital Fusiform Cortex,Subthreshold,0.501,0.4629
Supramarginal Gyrus (posterior),Precuneous Cortex,Subthreshold,0.5009,0.4628
Insular Cortex,Angular Gyrus,Subthreshold,0.4973,0.46
Inferior Frontal Gyrus (pars opercularis),Cingulate Gyrus (posterior),Subthreshold,0.4912,0.4552
Superior Frontal Gyrus,Temporal Fusiform Cortex (posterior),Subthreshold,0.4894,0.4537
Insular Cortex,Parahippocampal Gyrus (anterior),Subthreshold,0.488,0.4526
Frontal Pole,Planum Polare,Subthreshold,0.4855,0.4506
Cingulate Gyrus (anterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.4811,0.4471
Precuneous Cortex,Planum Polare,Subthreshold,0.479,0.4455
Angular Gyrus,Temporal Occipital Fusiform Cortex,Subthreshold,0.4782,0.4448
Supramarginal Gyrus (posterior),Paracingulate Gyrus,Subthreshold,0.4769,0.4437
Subcallosal Cortex,Precuneous Cortex,Subthreshold,0.4756,0.4427
Frontal Medial Cortex,Temporal Fusiform Cortex (posterior),Subthreshold,0.4748,0.442
Inferior Frontal Gyrus (pars triangularis),Temporal Occipital Fusiform Cortex,Subthreshold,0.4743,0.4417
Angular Gyrus,Central Opercular Cortex,Subthreshold,0.4735,0.441
Supramarginal Gyrus (anterior),Parietal Operculum Cortex,Subthreshold,0.4709,0.4389
Inferior Frontal Gyrus (pars opercularis),Supramarginal Gyrus (anterior),Subthreshold,0.4706,0.4387
Lateral Occipital Cortex (inferior),Subcallosal Cortex,Subthreshold,0.4698,0.438
Inferior Frontal Gyrus (pars opercularis),Occipital Fusiform Gyrus,Subthreshold,0.468,0.4365
Supramarginal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.4669,0.4357
Superior Parietal Lobule,Parahippocampal Gyrus (anterior),Subthreshold,0.4662,0.4352
Insular Cortex,Supramarginal Gyrus (anterior),Subthreshold,0.4653,0.4344
Insular Cortex,Temporal Pole,Subthreshold,0.4616,0.4313
Superior Parietal Lobule,Temporal Fusiform Cortex (posterior),Subthreshold,0.4614,0.4312
Inferior Frontal Gyrus (pars opercularis),Postcentral Gyrus,Subthreshold,0.4555,0.4264
Frontal Orbital Cortex,Parahippocampal Gyrus (posterior),Subthreshold,0.4548,0.4259
Inferior Temporal Gyrus (temporooccipital),Parietal Operculum Cortex,Subthreshold,0.4485,0.4207
Cingulate Gyrus (posterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.4461,0.4187
Lateral Occipital Cortex (inferior),Paracingulate Gyrus,Subthreshold,0.4442,0.4171
Inferior Frontal Gyrus (pars triangularis),Superior Parietal Lobule,Subthreshold,0.4434,0.4165
Insular Cortex,Precuneous Cortex,Subthreshold,0.4429,0.4161
Paracingulate Gyrus,Cuneal Cortex,Subthreshold,0.4423,0.4156
Paracingulate Gyrus,Occipital Fusiform Gyrus,Subthreshold,0.4422,0.4155
Middle Frontal Gyrus,Inferior Frontal Gyrus (pars opercularis),Subthreshold,0.4422,0.4155
Angular Gyrus,Parietal Operculum Cortex,Subthreshold,0.441,0.4145
Middle Frontal Gyrus,Supramarginal Gyrus (posterior),Subthreshold,0.4406,0.4141
Insular Cortex,Superior Frontal Gyrus,Subthreshold,0.4393,0.413
Cuneal Cortex,Planum Polare,Subthreshold,0.4367,0.4109
Precuneous Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,0.4344,0.409
Superior Frontal Gyrus,Occipital Fusiform Gyrus,Subthreshold,0.4306,0.4058
Paracingulate Gyrus,Parahippocampal Gyrus (anterior),Subthreshold,0.4303,0.4056
Cingulate Gyrus (posterior),Planum Polare,Subthreshold,0.4285,0.4041
Angular Gyrus,Parahippocampal Gyrus (anterior),Subthreshold,0.4281,0.4037
Postcentral Gyrus,Temporal Fusiform Cortex (posterior),Subthreshold,0.4274,0.4032
Insular Cortex,Supramarginal Gyrus (posterior),Subthreshold,0.4264,0.4023
Angular Gyrus,Planum Polare,Subthreshold,0.4248,0.401
Supramarginal Gyrus (posterior),Parietal Operculum Cortex,Subthreshold,0.4238,0.4002
Cingulate Gyrus (posterior),Parahippocampal Gyrus (anterior),Subthreshold,0.421,0.3977
Superior Parietal Lobule,Central Opercular Cortex,Subthreshold,0.4202,0.3971
Parahippocampal Gyrus (anterior),Parietal Operculum Cortex,Subthreshold,0.4201,0.397
Supramarginal Gyrus (posterior),Lateral Occipital Cortex (inferior),Subthreshold,0.4161,0.3936
Frontal Pole,Precuneous Cortex,Subthreshold,0.4157,0.3933
Paracingulate Gyrus,Precuneous Cortex,Subthreshold,0.4147,0.3925
Supramarginal Gyrus (anterior),Parahippocampal Gyrus (anterior),Subthreshold,0.4122,0.3904
Inferior Frontal Gyrus (pars opercularis),Angular Gyrus,Subthreshold,0.4118,0.39
Frontal Pole,Lateral Occipital Cortex (inferior),Subthreshold,0.4113,0.3896
Supramarginal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.409,0.3876
Frontal Medial Cortex,Occipital Fusiform Gyrus,Subthreshold,0.4059,0.385
Inferior Temporal Gyrus (temporooccipital),Cuneal Cortex,Subthreshold,0.4053,0.3845
Lateral Occipital Cortex (inferior),Cuneal Cortex,Subthreshold,0.4047,0.384
Inferior Frontal Gyrus (pars triangularis),Supramarginal Gyrus (anterior),Subthreshold,0.4036,0.383
Precentral Gyrus,Cuneal Cortex,Subthreshold,0.4035,0.3829
Inferior Frontal Gyrus (pars opercularis),Supramarginal Gyrus (posterior),Subthreshold,0.4027,0.3823
Cingulate Gyrus (posterior),Central Opercular Cortex,Subthreshold,0.4008,0.3806
Cingulate Gyrus (anterior),Parahippocampal Gyrus (anterior),Subthreshold,0.3983,0.3785
Middle Frontal Gyrus,Temporal Fusiform Cortex (posterior),Subthreshold,0.3961,0.3766
Precentral Gyrus,Parietal Operculum Cortex,Subthreshold,0.3957,0.3763
Supramarginal Gyrus (posterior),Parahippocampal Gyrus (anterior),Subthreshold,0.3947,0.3754
Superior Temporal Gyrus (posterior),Parietal Operculum Cortex,Subthreshold,0.3946,0.3753
Inferior Frontal Gyrus (pars triangularis),Occipital Fusiform Gyrus,Subthreshold,0.3928,0.3737
Supramarginal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.3918,0.3729
Lateral Occipital Cortex (inferior),Cingulate Gyrus (posterior),Subthreshold,0.3914,0.3726
