Source,Target,Group,Avg_Fisher_Z,Avg_r
Lateral Occipital Cortex (inferior),Cingulate Gyrus (anterior),Subthreshold,0.3381,0.3258
Temporal Fusiform Cortex (posterior),Occipital Fusiform Gyrus,Subthreshold,0.338,0.3257
Inferior Temporal Gyrus (temporooccipital),Planum Polare,Subthreshold,0.3376,0.3253
Cingulate Gyrus (anterior),Planum Polare,Subthreshold,0.3348,0.3228
Middle Frontal Gyrus,Inferior Frontal Gyrus (pars triangularis),Subthreshold,0.3345,0.3226
Inferior Frontal Gyrus (pars triangularis),Postcentral Gyrus,Subthreshold,0.3345,0.3225
Supramarginal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.3321,0.3204
Supramarginal Gyrus (posterior),Cuneal Cortex,Subthreshold,0.3305,0.3189
Middle Temporal Gyrus (temporooccipital),Parietal Operculum Cortex,Subthreshold,0.3287,0.3174
Frontal Medial Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,0.3265,0.3154
Cuneal Cortex,Occipital Fusiform Gyrus,Subthreshold,0.3263,0.3151
Frontal Medial Cortex,Parietal Operculum Cortex,Subthreshold,0.3251,0.3141
Insular Cortex,Intracalcarine Cortex,Subthreshold,0.3236,0.3128
Paracingulate Gyrus,Central Opercular Cortex,Subthreshold,0.3234,0.3126
Postcentral Gyrus,Precuneous Cortex,Subthreshold,0.3225,0.3118
Inferior Frontal Gyrus (pars opercularis),Planum Polare,Subthreshold,0.3223,0.3116
Intracalcarine Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,0.3215,0.3109
Postcentral Gyrus,Central Opercular Cortex,Subthreshold,0.3213,0.3106
Cuneal Cortex,Parietal Operculum Cortex,Subthreshold,0.3168,0.3066
Inferior Frontal Gyrus (pars triangularis),Angular Gyrus,Subthreshold,0.3164,0.3062
Supramarginal Gyrus (anterior),Cuneal Cortex,Subthreshold,0.3163,0.3061
Cuneal Cortex,Parahippocampal Gyrus (anterior),Subthreshold,0.3159,0.3058
Frontal Pole,Parahippocampal Gyrus (anterior),Subthreshold,0.3154,0.3054
Paracingulate Gyrus,Parietal Operculum Cortex,Subthreshold,0.3153,0.3053
Parahippocampal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.3153,0.3053
Cingulate Gyrus (posterior),Cuneal Cortex,Subthreshold,0.3134,0.3035
Frontal Orbital Cortex,Lingual Gyrus,Subthreshold,0.3129,0.3031
Precentral Gyrus,Lateral Occipital Cortex (inferior),Subthreshold,0.311,0.3014
Frontal Pole,Central Opercular Cortex,Subthreshold,0.3106,0.301
Frontal Orbital Cortex,Parahippocampal Gyrus (anterior),Subthreshold,0.3102,0.3006
Superior Temporal Gyrus (posterior),Central Opercular Cortex,Subthreshold,0.3094,0.2999
Cingulate Gyrus (anterior),Cuneal Cortex,Subthreshold,0.3079,0.2985
Precuneous Cortex,Cuneal Cortex,Subthreshold,0.3076,0.2982
Inferior Frontal Gyrus (pars triangularis),Planum Polare,Subthreshold,0.3071,0.2978
Temporal Fusiform Cortex (posterior),Central Opercular Cortex,Subthreshold,0.306,0.2968
Middle Temporal Gyrus (temporooccipital),Superior Parietal Lobule,Subthreshold,0.3043,0.2952
Inferior Frontal Gyrus (pars opercularis),Central Opercular Cortex,Subthreshold,0.3029,0.294
Precentral Gyrus,Planum Polare,Subthreshold,0.3025,0.2936
Inferior Frontal Gyrus (pars opercularis),Parietal Operculum Cortex,Subthreshold,0.3017,0.2928
Middle Temporal Gyrus (temporooccipital),Supramarginal Gyrus (posterior),Subthreshold,0.3016,0.2927
Middle Frontal Gyrus,Occipital Fusiform Gyrus,Subthreshold,0.3013,0.2925
Middle Frontal Gyrus,Temporal Occipital Fusiform Cortex,Subthreshold,0.301,0.2923
Supramarginal Gyrus (posterior),Frontal Orbital Cortex,Subthreshold,0.2996,0.2909
Inferior Frontal Gyrus (pars triangularis),Central Opercular Cortex,Subthreshold,0.2992,0.2906
Angular Gyrus,Frontal Orbital Cortex,Subthreshold,0.2992,0.2905
Juxtapositional Lobule Cortex,Cuneal Cortex,Subthreshold,0.299,0.2904
Superior Temporal Gyrus (anterior),Cuneal Cortex,Subthreshold,0.2985,0.2899
Superior Temporal Gyrus (posterior),Occipital Fusiform Gyrus,Subthreshold,0.2981,0.2895
Precuneous Cortex,Temporal Fusiform Cortex (posterior),Subthreshold,0.2975,0.2891
Superior Frontal Gyrus,Parietal Operculum Cortex,Subthreshold,0.2974,0.2889
Superior Frontal Gyrus,Precuneous Cortex,Subthreshold,0.2971,0.2886
Middle Temporal Gyrus (temporooccipital),Supramarginal Gyrus (anterior),Subthreshold,0.297,0.2885
Inferior Frontal Gyrus (pars opercularis),Precuneous Cortex,Subthreshold,0.296,0.2876
Superior Temporal Gyrus (posterior),Middle Temporal Gyrus (posterior),Subthreshold,0.2947,0.2865
Frontal Pole,Parietal Operculum Cortex,Subthreshold,0.294,0.2858
Middle Temporal Gyrus (temporooccipital),Cuneal Cortex,Subthreshold,0.2932,0.2851
Juxtapositional Lobule Cortex,Central Opercular Cortex,Subthreshold,0.2916,0.2836
Juxtapositional Lobule Cortex,Frontal Operculum Cortex,Subthreshold,0.2911,0.2831
Angular Gyrus,Cuneal Cortex,Subthreshold,0.2906,0.2827
Superior Frontal Gyrus,Parahippocampal Gyrus (anterior),Subthreshold,0.2873,0.2796
Superior Temporal Gyrus (anterior),Superior Temporal Gyrus (posterior),Subthreshold,0.2872,0.2795
Frontal Medial Cortex,Cuneal Cortex,Subthreshold,0.2846,0.2772
Subcallosal Cortex,Central Opercular Cortex,Subthreshold,0.2832,0.2759
Precuneous Cortex,Parahippocampal Gyrus (anterior),Subthreshold,0.2831,0.2758
Intracalcarine Cortex,Central Opercular Cortex,Subthreshold,0.2826,0.2753
Insular Cortex,Middle Temporal Gyrus (temporooccipital),Subthreshold,0.2785,0.2715
Insular Cortex,Juxtapositional Lobule Cortex,Subthreshold,0.2776,0.2707
Lateral Occipital Cortex (inferior),Temporal Fusiform Cortex (posterior),Subthreshold,0.2743,0.2676
Inferior Frontal Gyrus (pars triangularis),Parahippocampal Gyrus (anterior),Subthreshold,0.2737,0.2671
Middle Temporal Gyrus (temporooccipital),Parahippocampal Gyrus (anterior),Subthreshold,0.2712,0.2647
Middle Temporal Gyrus (temporooccipital),Subcallosal Cortex,Subthreshold,0.2707,0.2643
Middle Frontal Gyrus,Precuneous Cortex,Subthreshold,0.2704,0.264
Superior Temporal Gyrus (posterior),Middle Temporal Gyrus (temporooccipital),Subthreshold,0.27,0.2636
Lateral Occipital Cortex (superior),Parahippocampal Gyrus (anterior),Subthreshold,0.2698,0.2634
Superior Frontal Gyrus,Cuneal Cortex,Subthreshold,0.2695,0.2631
Lateral Occipital Cortex (inferior),Frontal Operculum Cortex,Subthreshold,0.2679,0.2617
Frontal Pole,Middle Temporal Gyrus (temporooccipital),Subthreshold,0.2673,0.2611
Precentral Gyrus,Central Opercular Cortex,Subthreshold,0.2669,0.2608
Lateral Occipital Cortex (superior),Temporal Fusiform Cortex (anterior),Subthreshold,0.2659,0.2598
Postcentral Gyrus,Parahippocampal Gyrus (anterior),Subthreshold,0.2655,0.2595
Frontal Medial Cortex,Parahippocampal Gyrus (anterior),Subthreshold,0.2642,0.2582
Frontal Pole,Temporal Pole,Subthreshold,0.2639,0.2579
Temporal Pole,Lateral Occipital Cortex (inferior),Subthreshold,0.2627,0.2569
Temporal Pole,Planum Polare,Subthreshold,0.2628,0.2569
Lateral Occipital Cortex (superior),Temporal Occipital Fusiform Cortex,Subthreshold,0.2619,0.2561
Middle Temporal Gyrus (temporooccipital),Temporal Occipital Fusiform Cortex,Subthreshold,0.2617,0.2559
Inferior Frontal Gyrus (pars triangularis),Lateral Occipital Cortex (inferior),Subthreshold,0.2609,0.2551
Precentral Gyrus,Middle Temporal Gyrus (temporooccipital),Subthreshold,0.2596,0.2539
Postcentral Gyrus,Planum Polare,Subthreshold,0.2592,0.2535
Supramarginal Gyrus (posterior),Central Opercular Cortex,Subthreshold,0.2581,0.2525
Subcallosal Cortex,Parietal Operculum Cortex,Subthreshold,0.2577,0.2522
Lateral Occipital Cortex (inferior),Central Opercular Cortex,Subthreshold,0.2577,0.2521
Frontal Orbital Cortex,Parietal Operculum Cortex,Subthreshold,0.2573,0.2518
Lateral Occipital Cortex (inferior),Frontal Medial Cortex,Subthreshold,0.2568,0.2513
Inferior Frontal Gyrus (pars triangularis),Parietal Operculum Cortex,Subthreshold,0.256,0.2505
Intracalcarine Cortex,Cuneal Cortex,Subthreshold,0.2548,0.2494
Cingulate Gyrus (posterior),Frontal Orbital Cortex,Subthreshold,0.254,0.2487
Intracalcarine Cortex,Juxtapositional Lobule Cortex,Subthreshold,0.2534,0.2482
Inferior Frontal Gyrus (pars triangularis),Precuneous Cortex,Subthreshold,0.2527,0.2475
Middle Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (superior),Subthreshold,0.2522,0.2469
Superior Frontal Gyrus,Central Opercular Cortex,Subthreshold,0.2514,0.2462
Postcentral Gyrus,Cuneal Cortex,Subthreshold,0.2501,0.245
Intracalcarine Cortex,Frontal Operculum Cortex,Subthreshold,0.2496,0.2445
Superior Temporal Gyrus (posterior),Supramarginal Gyrus (posterior),Subthreshold,0.2479,0.2429
Middle Temporal Gyrus (temporooccipital),Planum Polare,Subthreshold,0.2461,0.2413
Inferior Frontal Gyrus (pars opercularis),Lateral Occipital Cortex (inferior),Subthreshold,0.2445,0.2397
Lateral Occipital Cortex (superior),Central Opercular Cortex,Subthreshold,0.2442,0.2395
Temporal Fusiform Cortex (posterior),Parietal Operculum Cortex,Subthreshold,0.2417,0.2371
Frontal Pole,Intracalcarine Cortex,Subthreshold,0.2414,0.2368
Superior Frontal Gyrus,Planum Polare,Subthreshold,0.2402,0.2356
Superior Temporal Gyrus (posterior),Cuneal Cortex,Subthreshold,0.24,0.2355
Insular Cortex,Lateral Occipital Cortex (superior),Subthreshold,0.2397,0.2352
Middle Temporal Gyrus (temporooccipital),Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.2386,0.2342
Frontal Medial Cortex,Central Opercular Cortex,Subthreshold,0.2378,0.2334
Superior Frontal Gyrus,Lateral Occipital Cortex (inferior),Subthreshold,0.2377,0.2333
Superior Temporal Gyrus (posterior),Angular Gyrus,Subthreshold,0.2358,0.2316
Middle Frontal Gyrus,Lateral Occipital Cortex (inferior),Subthreshold,0.2344,0.2302
Superior Temporal Gyrus (posterior),Precuneous Cortex,Subthreshold,0.234,0.2298
Frontal Medial Cortex,Planum Polare,Subthreshold,0.2338,0.2296
Middle Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (inferior),Subthreshold,0.2333,0.2292
Middle Temporal Gyrus (temporooccipital),Paracingulate Gyrus,Subthreshold,0.2332,0.2291
Occipital Fusiform Gyrus,Planum Polare,Subthreshold,0.2315,0.2275
Insular Cortex,Superior Temporal Gyrus (posterior),Subthreshold,0.2311,0.2271
Central Opercular Cortex,Planum Polare,Subthreshold,0.2312,0.2271
Superior Temporal Gyrus (anterior),Central Opercular Cortex,Subthreshold,0.2301,0.2262
Superior Temporal Gyrus (posterior),Supramarginal Gyrus (anterior),Subthreshold,0.2302,0.2262
Precuneous Cortex,Occipital Fusiform Gyrus,Subthreshold,0.2298,0.2258
Temporal Pole,Superior Temporal Gyrus (posterior),Subthreshold,0.228,0.2242
Intracalcarine Cortex,Planum Polare,Subthreshold,0.2279,0.2241
Frontal Orbital Cortex,Central Opercular Cortex,Subthreshold,0.2272,0.2234
Precuneous Cortex,Frontal Orbital Cortex,Subthreshold,0.2264,0.2226
Frontal Orbital Cortex,Occipital Fusiform Gyrus,Subthreshold,0.2234,0.2198
Superior Temporal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.2234,0.2197
Middle Frontal Gyrus,Parahippocampal Gyrus (anterior),Subthreshold,0.223,0.2194
Postcentral Gyrus,Lateral Occipital Cortex (inferior),Subthreshold,0.2227,0.2191
Temporal Pole,Middle Temporal Gyrus (anterior),Subthreshold,0.2206,0.2171
Inferior Frontal Gyrus (pars triangularis),Middle Temporal Gyrus (temporooccipital),Subthreshold,0.2195,0.2161
Temporal Pole,Juxtapositional Lobule Cortex,Subthreshold,0.2186,0.2152
Frontal Operculum Cortex,Planum Polare,Subthreshold,0.2184,0.215
Middle Frontal Gyrus,Cuneal Cortex,Subthreshold,0.2177,0.2144
Temporal Pole,Intracalcarine Cortex,Subthreshold,0.2168,0.2134
Lateral Occipital Cortex (superior),Lateral Occipital Cortex (inferior),Subthreshold,0.2163,0.213
Middle Frontal Gyrus,Parietal Operculum Cortex,Subthreshold,0.2154,0.2121
Middle Frontal Gyrus,Central Opercular Cortex,Subthreshold,0.2131,0.21
Superior Temporal Gyrus (posterior),Cingulate Gyrus (anterior),Subthreshold,0.2105,0.2075
Inferior Frontal Gyrus (pars opercularis),Middle Temporal Gyrus (temporooccipital),Subthreshold,0.2104,0.2074
Lateral Occipital Cortex (superior),Subcallosal Cortex,Subthreshold,0.2096,0.2066
Temporal Pole,Subcallosal Cortex,Subthreshold,0.2082,0.2053
Lateral Occipital Cortex (inferior),Parietal Operculum Cortex,Subthreshold,0.2073,0.2044
Middle Frontal Gyrus,Planum Polare,Subthreshold,0.2072,0.2043
Lateral Occipital Cortex (superior),Precuneous Cortex,Subthreshold,0.207,0.204
Frontal Pole,Frontal Operculum Cortex,Subthreshold,0.2057,0.2028
Supramarginal Gyrus (posterior),Lingual Gyrus,Subthreshold,0.2055,0.2026
Superior Temporal Gyrus (posterior),Cingulate Gyrus (posterior),Subthreshold,0.2036,0.2009
Superior Temporal Gyrus (posterior),Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.2035,0.2008
Temporal Pole,Central Opercular Cortex,Subthreshold,0.2033,0.2006
Superior Temporal Gyrus (posterior),Frontal Operculum Cortex,Subthreshold,0.203,0.2003
Superior Temporal Gyrus (anterior),Lateral Occipital Cortex (superior),Subthreshold,0.2004,0.1977
Precuneous Cortex,Parahippocampal Gyrus (posterior),Subthreshold,0.1991,0.1965
Parahippocampal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.1985,0.1959
Insular Cortex,Middle Temporal Gyrus (anterior),Subthreshold,0.1978,0.1953
Superior Frontal Gyrus,Superior Temporal Gyrus (posterior),Subthreshold,0.1954,0.193
Juxtapositional Lobule Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.1947,0.1923
Superior Temporal Gyrus (posterior),Superior Parietal Lobule,Subthreshold,0.1945,0.1921
Parahippocampal Gyrus (anterior),Lingual Gyrus,Subthreshold,0.1944,0.192
Middle Temporal Gyrus (anterior),Frontal Operculum Cortex,Subthreshold,0.1936,0.1912
Superior Temporal Gyrus (posterior),Frontal Orbital Cortex,Subthreshold,0.1931,0.1907
Subcallosal Cortex,Frontal Operculum Cortex,Subthreshold,0.1929,0.1905
Precuneous Cortex,Frontal Operculum Cortex,Subthreshold,0.1919,0.1895
Middle Temporal Gyrus (temporooccipital),Cingulate Gyrus (anterior),Subthreshold,0.1915,0.1892
Superior Temporal Gyrus (anterior),Subcallosal Cortex,Subthreshold,0.1913,0.189
Intracalcarine Cortex,Precuneous Cortex,Subthreshold,0.1887,0.1865
Temporal Pole,Lateral Occipital Cortex (superior),Subthreshold,0.1871,0.1849
Lateral Occipital Cortex (superior),Cuneal Cortex,Subthreshold,0.1869,0.1847
Superior Temporal Gyrus (anterior),Intracalcarine Cortex,Subthreshold,0.1858,0.1837
Precuneous Cortex,Parietal Operculum Cortex,Subthreshold,0.185,0.1829
Lingual Gyrus,Temporal Fusiform Cortex (anterior),Subthreshold,0.1849,0.1828
Intracalcarine Cortex,Subcallosal Cortex,Subthreshold,0.1836,0.1816
Temporal Fusiform Cortex (posterior),Frontal Operculum Cortex,Subthreshold,0.1834,0.1814
Cingulate Gyrus (anterior),Frontal Orbital Cortex,Subthreshold,0.1827,0.1807
Middle Temporal Gyrus (temporooccipital),Frontal Medial Cortex,Subthreshold,0.1818,0.1798
Middle Temporal Gyrus (anterior),Cuneal Cortex,Subthreshold,0.1813,0.1793
Lingual Gyrus,Parietal Operculum Cortex,Subthreshold,0.1799,0.178
Superior Temporal Gyrus (anterior),Lateral Occipital Cortex (inferior),Subthreshold,0.1791,0.1772
Temporal Fusiform Cortex (anterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.1782,0.1763
Superior Temporal Gyrus (posterior),Lateral Occipital Cortex (inferior),Subthreshold,0.178,0.1761
Temporal Pole,Precuneous Cortex,Subthreshold,0.1779,0.176
Lateral Occipital Cortex (superior),Juxtapositional Lobule Cortex,Subthreshold,0.1775,0.1756
Middle Temporal Gyrus (temporooccipital),Central Opercular Cortex,Subthreshold,0.1767,0.1749
Supramarginal Gyrus (anterior),Frontal Orbital Cortex,Subthreshold,0.1743,0.1725
Lateral Occipital Cortex (superior),Paracingulate Gyrus,Subthreshold,0.1741,0.1723
Superior Temporal Gyrus (posterior),Frontal Medial Cortex,Subthreshold,0.1727,0.171
Temporal Fusiform Cortex (anterior),Planum Polare,Subthreshold,0.1726,0.1709
Juxtapositional Lobule Cortex,Precuneous Cortex,Subthreshold,0.1725,0.1708
Inferior Frontal Gyrus (pars triangularis),Lateral Occipital Cortex (superior),Subthreshold,0.1722,0.1706
Middle Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (posterior),Subthreshold,0.1717,0.1701
Superior Temporal Gyrus (posterior),Lateral Occipital Cortex (superior),Subthreshold,0.1714,0.1698
Middle Temporal Gyrus (posterior),Middle Temporal Gyrus (temporooccipital),Subthreshold,0.1709,0.1693
Superior Temporal Gyrus (posterior),Juxtapositional Lobule Cortex,Subthreshold,0.1695,0.1678
Middle Temporal Gyrus (posterior),Central Opercular Cortex,Subthreshold,0.1687,0.1672
Middle Temporal Gyrus (temporooccipital),Inferior Temporal Gyrus (posterior),Subthreshold,0.1682,0.1666
Parahippocampal Gyrus (posterior),Central Opercular Cortex,Subthreshold,0.1681,0.1665
Insular Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.1673,0.1657
Inferior Temporal Gyrus (posterior),Lateral Occipital Cortex (superior),Subthreshold,0.1672,0.1657
Superior Temporal Gyrus (posterior),Postcentral Gyrus,Subthreshold,0.167,0.1654
Supramarginal Gyrus (anterior),Lingual Gyrus,Subthreshold,0.1656,0.1641
Lateral Occipital Cortex (superior),Frontal Operculum Cortex,Subthreshold,0.1656,0.1641
Middle Temporal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.1647,0.1632
Postcentral Gyrus,Frontal Orbital Cortex,Subthreshold,0.1645,0.1631
Superior Frontal Gyrus,Middle Temporal Gyrus (temporooccipital),Subthreshold,0.1643,0.1628
Superior Temporal Gyrus (posterior),Middle Temporal Gyrus (anterior),Subthreshold,0.1637,0.1622
Subcallosal Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.1619,0.1605
Superior Temporal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.16,0.1587
Middle Temporal Gyrus (anterior),Middle Temporal Gyrus (posterior),Subthreshold,0.1595,0.1581
Frontal Pole,Lateral Occipital Cortex (superior),Subthreshold,0.1592,0.1578
Middle Temporal Gyrus (temporooccipital),Precuneous Cortex,Subthreshold,0.1581,0.1568
Inferior Frontal Gyrus (pars opercularis),Lateral Occipital Cortex (superior),Subthreshold,0.1579,0.1566
Middle Temporal Gyrus (anterior),Central Opercular Cortex,Subthreshold,0.1536,0.1524
Lateral Occipital Cortex (superior),Planum Polare,Subthreshold,0.1531,0.1519
Lateral Occipital Cortex (superior),Occipital Fusiform Gyrus,Subthreshold,0.153,0.1518
Lateral Occipital Cortex (superior),Planum Temporale,Subthreshold,0.1529,0.1517
Middle Temporal Gyrus (temporooccipital),Cingulate Gyrus (posterior),Subthreshold,0.1523,0.1512
Lateral Occipital Cortex (superior),Parietal Operculum Cortex,Subthreshold,0.1516,0.1504
Middle Temporal Gyrus (anterior),Subcallosal Cortex,Subthreshold,0.1514,0.1502
Inferior Frontal Gyrus (pars opercularis),Temporal Pole,Subthreshold,0.1511,0.1499
Precuneous Cortex,Lingual Gyrus,Subthreshold,0.1508,0.1497
Temporal Fusiform Cortex (anterior),Frontal Operculum Cortex,Subthreshold,0.1506,0.1494
Inferior Temporal Gyrus (anterior),Inferior Temporal Gyrus (posterior),Subthreshold,0.1503,0.1491
Superior Temporal Gyrus (posterior),Planum Polare,Subthreshold,0.1501,0.149
Frontal Pole,Juxtapositional Lobule Cortex,Subthreshold,0.149,0.1479
Central Opercular Cortex,Planum Temporale,Subthreshold,0.148,0.147
Angular Gyrus,Intracalcarine Cortex,Subthreshold,0.1476,0.1466
Superior Temporal Gyrus (posterior),Parahippocampal Gyrus (anterior),Subthreshold,0.1472,0.1462
Lateral Occipital Cortex (superior),Temporal Fusiform Cortex (posterior),Subthreshold,0.1467,0.1457
Superior Frontal Gyrus,Lateral Occipital Cortex (superior),Subthreshold,0.1458,0.1448
Middle Temporal Gyrus (posterior),Juxtapositional Lobule Cortex,Subthreshold,0.1438,0.1428
Frontal Pole,Superior Temporal Gyrus (anterior),Subthreshold,0.1438,0.1428
Temporal Pole,Temporal Fusiform Cortex (anterior),Subthreshold,0.1428,0.1419
Lateral Occipital Cortex (inferior),Temporal Fusiform Cortex (anterior),Subthreshold,0.1424,0.1414
Supramarginal Gyrus (posterior),Intracalcarine Cortex,Subthreshold,0.1422,0.1413
Middle Temporal Gyrus (anterior),Intracalcarine Cortex,Subthreshold,0.1407,0.1398
Superior Temporal Gyrus (anterior),Paracingulate Gyrus,Subthreshold,0.1406,0.1396
Temporal Pole,Middle Temporal Gyrus (temporooccipital),Subthreshold,0.1396,0.1387
Middle Temporal Gyrus (temporooccipital),Angular Gyrus,Subthreshold,0.1395,0.1386
Frontal Pole,Temporal Fusiform Cortex (anterior),Subthreshold,0.1395,0.1386
Inferior Temporal Gyrus (temporooccipital),Juxtapositional Lobule Cortex,Subthreshold,0.1395,0.1386
Juxtapositional Lobule Cortex,Temporal Fusiform Cortex (posterior),Subthreshold,0.1393,0.1384
Parahippocampal Gyrus (posterior),Parietal Operculum Cortex,Subthreshold,0.1392,0.1383
Superior Temporal Gyrus (anterior),Parahippocampal Gyrus (posterior),Subthreshold,0.1384,0.1375
Precentral Gyrus,Superior Temporal Gyrus (posterior),Subthreshold,0.1381,0.1372
Middle Temporal Gyrus (posterior),Precuneous Cortex,Subthreshold,0.138,0.1371
Middle Temporal Gyrus (anterior),Cingulate Gyrus (anterior),Subthreshold,0.1378,0.1369
Inferior Frontal Gyrus (pars opercularis),Juxtapositional Lobule Cortex,Subthreshold,0.1367,0.1359
Juxtapositional Lobule Cortex,Parahippocampal Gyrus (anterior),Subthreshold,0.1363,0.1355
Lingual Gyrus,Occipital Fusiform Gyrus,Subthreshold,0.1358,0.135
Intracalcarine Cortex,Cingulate Gyrus (posterior),Subthreshold,0.1344,0.1336
Parahippocampal Gyrus (anterior),Frontal Operculum Cortex,Subthreshold,0.1342,0.1334
Inferior Frontal Gyrus (pars opercularis),Intracalcarine Cortex,Subthreshold,0.1342,0.1334
Precentral Gyrus,Lateral Occipital Cortex (superior),Subthreshold,0.1338,0.133
Paracingulate Gyrus,Frontal Operculum Cortex,Subthreshold,0.1337,0.1329
Middle Temporal Gyrus (posterior),Frontal Orbital Cortex,Subthreshold,0.1327,0.1319
Insular Cortex,Middle Temporal Gyrus (posterior),Subthreshold,0.1327,0.1319
Temporal Pole,Temporal Fusiform Cortex (posterior),Subthreshold,0.1324,0.1316
Inferior Frontal Gyrus (pars triangularis),Frontal Operculum Cortex,Subthreshold,0.1322,0.1315
Superior Temporal Gyrus (anterior),Planum Polare,Subthreshold,0.1322,0.1314
Middle Temporal Gyrus (anterior),Paracingulate Gyrus,Subthreshold,0.1305,0.1298
Superior Parietal Lobule,Frontal Orbital Cortex,Subthreshold,0.1302,0.1295
Precentral Gyrus,Frontal Orbital Cortex,Subthreshold,0.1297,0.1289
Parietal Operculum Cortex,Planum Polare,Subthreshold,0.1293,0.1286
Frontal Orbital Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,0.1275,0.1268
Superior Temporal Gyrus (posterior),Subcallosal Cortex,Subthreshold,0.1264,0.1257
Superior Temporal Gyrus (posterior),Planum Temporale,Subthreshold,0.126,0.1254
Temporal Pole,Parahippocampal Gyrus (anterior),Subthreshold,0.1252,0.1246
Superior Temporal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.1236,0.123
Juxtapositional Lobule Cortex,Planum Polare,Subthreshold,0.1227,0.1221
Superior Frontal Gyrus,Frontal Orbital Cortex,Subthreshold,0.1227,0.1221
Supramarginal Gyrus (posterior),Frontal Operculum Cortex,Subthreshold,0.1223,0.1217
Precentral Gyrus,Juxtapositional Lobule Cortex,Subthreshold,0.1211,0.1206
Middle Temporal Gyrus (posterior),Lingual Gyrus,Subthreshold,0.1209,0.1203
Frontal Pole,Middle Temporal Gyrus (anterior),Subthreshold,0.1204,0.1198
Supramarginal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.1203,0.1197
Temporal Fusiform Cortex (anterior),Planum Temporale,Subthreshold,0.1202,0.1196
Lateral Occipital Cortex (inferior),Intracalcarine Cortex,Subthreshold,0.1201,0.1196
Inferior Temporal Gyrus (temporooccipital),Frontal Orbital Cortex,Subthreshold,0.1197,0.1191
Frontal Pole,Superior Temporal Gyrus (posterior),Subthreshold,0.1193,0.1187
Temporal Fusiform Cortex (anterior),Parietal Operculum Cortex,Subthreshold,0.1191,0.1186
Superior Temporal Gyrus (anterior),Parahippocampal Gyrus (anterior),Subthreshold,0.1189,0.1184
Inferior Frontal Gyrus (pars opercularis),Frontal Operculum Cortex,Subthreshold,0.119,0.1184
Superior Temporal Gyrus (anterior),Inferior Temporal Gyrus (anterior),Subthreshold,0.1184,0.1179
Lingual Gyrus,Central Opercular Cortex,Subthreshold,0.1183,0.1177
Parahippocampal Gyrus (anterior),Planum Temporale,Subthreshold,0.1179,0.1173
Supramarginal Gyrus (posterior),Lateral Occipital Cortex (superior),Subthreshold,0.1178,0.1172
Cuneal Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.1174,0.1169
Lateral Occipital Cortex (inferior),Juxtapositional Lobule Cortex,Subthreshold,0.1166,0.1161
Inferior Temporal Gyrus (posterior),Lingual Gyrus,Subthreshold,0.1165,0.116
Middle Temporal Gyrus (temporooccipital),Frontal Operculum Cortex,Subthreshold,0.1166,0.116
Juxtapositional Lobule Cortex,Subcallosal Cortex,Subthreshold,0.1164,0.1159
Inferior Frontal Gyrus (pars triangularis),Intracalcarine Cortex,Subthreshold,0.1164,0.1159
Middle Temporal Gyrus (anterior),Lateral Occipital Cortex (superior),Subthreshold,0.1157,0.1152
Middle Temporal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.1154,0.1149
Angular Gyrus,Juxtapositional Lobule Cortex,Subthreshold,0.1152,0.1147
Precuneous Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.1151,0.1146
Inferior Temporal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.114,0.1135
Superior Temporal Gyrus (anterior),Juxtapositional Lobule Cortex,Subthreshold,0.1134,0.1129
Middle Temporal Gyrus (posterior),Cuneal Cortex,Subthreshold,0.1125,0.1121
Intracalcarine Cortex,Paracingulate Gyrus,Subthreshold,0.1125,0.112
Middle Temporal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.1118,0.1114
Juxtapositional Lobule Cortex,Parietal Operculum Cortex,Subthreshold,0.1113,0.1109
Angular Gyrus,Lingual Gyrus,Subthreshold,0.1112,0.1107
